"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"43009",0.997,362.5687,69.3195,97.0808,384.712,366.8016,125.4484,82.6608,50.0579,56.2905,32.7183,56.8493,54.2269,72.753,44.339,48.5291,36.2266,99.707,64.7496,86.1036,58.1345,30.8156,92.1139,57.8951,41.2298,46.1968,55.4913,67.4441,134.7446,76.2063,94.2711,112.8276,269.0562
"43010",1.994,47.2915,12.3044,18.0827,44.3638,39.804,19.7933,11.0999,8.202,8.712,5.3888,8.8488,7.6583,10.1564,8.1566,8.1018,5.432,12.3161,7.7224,12.3987,7.922,2.5848,10.2042,8.526,8.1245,6.7461,9.0213,5.8084,15.5964,12.2004,15.4203,17.4987,36.0468
"43011",2.991,27.2669,5.8609,8.0965,17.3633,5.8721,7.5722,5.7487,4.3252,3.3848,1.8918,3.7445,4.1106,4.819,4.0551,3.2673,2.5982,2.9801,3.1049,4.1497,2.1998,0.5922,3.3885,4.2306,4.6802,3.6046,2.5503,2.0725,5.8063,5.562,7.3921,8.5184,17.6505
"43012",3.988,13.3558,3.3831,4.2582,7.97,2.4371,3.6781,3.3088,2.5696,1.9175,1.04,2.1771,2.5103,2.9056,2.5831,1.9275,1.6744,1.7052,1.678,2.5692,1.2437,0.3143,1.9249,2.8744,3.0617,2.1169,1.3604,0.9388,2.7845,3.3138,3.7272,3.9038,8.1699
"43013",4.985,5.3554,2.3394,2.6039,3.6244,1.9193,2.2438,2.36,1.8635,1.4593,0.9982,1.6743,1.8339,2.3453,1.7998,1.4966,1.2436,1.2873,1.2083,1.8008,0.921,0.1612,1.3113,1.9377,2.1589,1.4688,0.8364,0.5165,1.7453,2.2569,2.0477,1.8049,3.6095
"43014",5.982,2.9759,2.349,2.4372,2.8151,1.4443,2.0821,2.2344,1.7424,1.2801,0.956,1.5554,1.6571,1.7513,1.669,1.3259,1.1092,1.1469,1.0868,1.6695,0.8057,0.124,1.1311,1.9145,1.8604,1.2485,0.5724,0.3316,1.2769,2.1152,1.9568,1.0026,1.9574
"43015",6.979,2.1667,2.0961,2.0105,1.8956,0.9193,1.7016,1.967,1.3735,0.8737,0.6682,1.1168,1.3873,1.4506,1.3409,0.8923,0.7891,0.7593,0.7666,1.2062,0.5253,0.0989,0.8631,1.3915,1.6015,1.0529,0.471,0.2714,1.1989,1.7949,1.5547,0.8278,1.6425
"43016",7.976,1.4283,1.5057,1.506,1.3336,0.684,1.2994,1.4785,1.168,0.7578,0.6955,1.0587,1.3375,1.3711,1.1966,0.9031,0.7966,0.7668,0.8014,1.1672,0.5601,0.1065,0.7947,1.2579,1.4217,0.9241,0.4269,0.2244,0.9739,1.4471,1.1497,0.6041,1.1111
"43017",8.973,1.4221,1.3328,1.4532,1.2747,0.7217,1.2194,1.4545,1.2558,0.8382,0.8074,1.1822,1.4007,1.5827,1.6683,1.2236,1.2717,1.0741,1.1212,1.4906,0.8336,0.1215,0.86,1.519,1.3929,0.9483,0.4212,0.2098,0.8242,1.3854,0.9886,0.5501,1.0701
"43018",9.97,1.4906,1.6507,1.5852,1.4005,0.7586,1.4028,1.8729,1.6643,0.9673,0.9965,1.5433,2.1692,2.8173,2.7291,1.934,2.8822,2.0704,2.1068,2.4566,1.6053,0.1687,1.2108,2.1812,2.0164,1.3662,0.5726,0.2777,1.0206,1.7945,1.2382,0.6322,1.2411
"43019",10.967,2.5249,3.0754,2.9984,2.8187,1.6487,2.9559,3.7511,4.2443,2.5801,2.571,4.9086,5.8526,8.4457,9.7093,7.2393,13.2094,8.4591,9.4322,9.7581,6.6131,0.4604,3.789,5.5965,4.4816,3.2433,1.1038,0.4982,1.7039,3.2799,2.295,1.1586,2.2327
"43020",11.964,7.7594,6.3005,6.6484,8.4981,3.6096,5.8708,7.5429,8.3434,4.6449,3.5469,8.4666,11.9617,19.8599,20.1119,10.053,29.4808,19.0624,21.5877,20.422,12.8761,0.8613,6.4947,11.5472,9.0353,6.135,1.5317,1.364,3.031,6.4091,4.9267,3.2498,6.3978
"43021",12.961,3.123,2.4889,2.6385,3.2933,1.5637,2.4582,3.1389,3.8375,2.0777,1.5321,4.1811,6.9212,15.1441,12.8598,4.4396,11.4072,8.7488,9.0843,13.3969,5.027,0.3137,3.3871,7.0262,4.3748,2.963,0.7311,0.5766,1.3829,2.7854,1.9504,1.3536,2.6502
"43022",13.958,1.2298,0.8651,0.9177,1.2629,0.6019,0.8785,0.986,1.243,0.7902,0.6742,1.5313,2.1135,4.8708,4.2117,1.7246,3.9176,3.027,2.9815,4.6745,1.426,0.1415,1.1176,2.3222,1.3227,1.0109,0.3171,0.2065,0.5592,0.9494,0.6817,0.4556,0.9743
"43023",14.955,0.6968,0.5602,0.579,0.7019,0.3833,0.5561,0.6067,0.6704,0.5267,0.4387,0.7987,0.9047,1.6575,1.6111,0.866,1.5726,1.2121,1.1574,1.5469,0.6078,0.1432,0.5089,0.8955,0.6595,0.5045,0.1954,0.117,0.3855,0.5864,0.4543,0.278,0.576
"43024",15.952,0.6553,0.4581,0.5216,0.549,0.3276,0.4458,0.503,0.4359,0.4127,0.3785,0.6518,0.5521,0.7978,0.9032,0.6357,0.8079,0.6655,0.5856,0.652,0.376,0.1526,0.3327,0.517,0.5026,0.366,0.1727,0.1062,0.3309,0.52,0.4066,0.2698,0.5356
"43025",16.949,0.5694,0.4205,0.4678,0.4444,0.3128,0.4627,0.4581,0.4452,0.4045,0.4368,0.8172,0.5998,0.7959,1.0808,0.9695,1.0333,0.6722,0.585,0.6303,0.4496,0.1913,0.322,0.5052,0.487,0.3031,0.1714,0.0977,0.3137,0.4807,0.36,0.249,0.4874
"43026",17.946,0.6303,0.5069,0.5348,0.5212,0.3422,0.4641,0.5457,0.5283,0.4345,0.4623,0.8096,0.6064,0.812,0.8775,0.8597,0.8913,0.5934,0.5982,0.6274,0.4893,0.2102,0.3027,0.6371,0.5761,0.4196,0.1818,0.1236,0.387,0.5728,0.4698,0.2793,0.5763
"43027",18.943,0.6712,0.5556,0.5308,0.4957,0.3077,0.4655,0.6056,0.5805,0.4221,0.3537,0.7914,0.7017,0.8498,0.7751,0.6741,0.6735,0.6075,0.6421,0.7865,0.5412,0.1788,0.3749,0.7739,0.7448,0.5908,0.1993,0.1213,0.442,0.6344,0.5133,0.3175,0.5886
"43028",19.94,0.6353,0.4081,0.4366,0.4694,0.273,0.3693,0.4638,0.4889,0.3409,0.272,0.7263,0.6153,0.8052,0.8064,0.6698,0.6359,0.533,0.6488,0.7791,0.501,0.1672,0.333,0.6924,0.549,0.4184,0.1641,0.1046,0.3107,0.4745,0.3867,0.2724,0.5532
"43029",20.937,0.5748,0.3913,0.3932,0.4539,0.2456,0.368,0.4499,0.4936,0.3495,0.2643,0.7278,0.6693,0.8186,0.9268,0.7221,0.7645,0.5951,0.6353,0.7163,0.4474,0.2052,0.302,0.7471,0.5428,0.4093,0.1356,0.0846,0.2696,0.428,0.3134,0.2258,0.5018
"43030",21.934,0.6565,0.3509,0.3818,0.4694,0.2417,0.3541,0.4032,0.4275,0.3437,0.274,0.7046,0.5598,0.6591,0.763,0.6959,0.9014,0.5647,0.5722,0.582,0.4266,0.2305,0.279,0.6519,0.456,0.3278,0.1366,0.1046,0.2543,0.3722,0.2952,0.2586,0.5785
"43031",22.931,0.8452,0.4021,0.41,0.5869,0.2467,0.3544,0.4584,0.3966,0.2903,0.2072,0.6148,0.4988,0.625,0.6465,0.631,0.9876,0.6331,0.654,0.5724,0.4111,0.2694,0.3003,0.5853,0.4644,0.3364,0.1634,0.1187,0.2491,0.408,0.3373,0.2789,0.7148
"43032",23.928,0.7163,0.2781,0.3322,0.4353,0.2014,0.2774,0.2994,0.26,0.2214,0.1879,0.4651,0.3123,0.5195,0.4514,0.5413,0.509,0.4228,0.5234,0.5312,0.364,0.3035,0.2609,0.3899,0.307,0.2257,0.1237,0.0909,0.2074,0.2661,0.2336,0.2356,0.6239
"43033",24.925,0.5662,0.2516,0.2857,0.3509,0.1428,0.2525,0.2525,0.2272,0.1924,0.1513,0.3404,0.2639,0.3622,0.3687,0.5242,0.3765,0.3066,0.3217,0.3641,0.2014,0.2723,0.1664,0.2821,0.2348,0.1626,0.0895,0.066,0.1638,0.221,0.1968,0.1689,0.5008
"43034",25.922,0.4927,0.1719,0.2171,0.2562,0.1386,0.1992,0.1772,0.16,0.1758,0.1492,0.2662,0.206,0.24,0.2574,0.4748,0.2939,0.2292,0.2561,0.2799,0.1427,0.2846,0.1348,0.2235,0.1796,0.1229,0.0969,0.063,0.1442,0.1743,0.1541,0.1788,0.4388
"43035",26.919,0.5301,0.1736,0.198,0.273,0.136,0.1765,0.1649,0.1525,0.176,0.1366,0.2686,0.1721,0.2118,0.2155,0.4066,0.2337,0.2186,0.2263,0.198,0.1289,0.3365,0.1114,0.1899,0.1792,0.1118,0.0834,0.0555,0.1553,0.1681,0.1592,0.1701,0.4927
"43036",27.916,0.4227,0.1647,0.1953,0.2563,0.1413,0.1553,0.1495,0.1358,0.1591,0.1212,0.2383,0.1541,0.171,0.1588,0.2374,0.189,0.1557,0.1641,0.1786,0.111,0.3226,0.0969,0.1662,0.1555,0.1065,0.0785,0.0521,0.1348,0.1571,0.1409,0.1553,0.4118
"43037",28.913,0.4976,0.1624,0.1934,0.2551,0.1394,0.1481,0.1532,0.1353,0.1304,0.1091,0.2669,0.1453,0.1496,0.1728,0.2007,0.1805,0.1624,0.1551,0.1482,0.1052,0.3178,0.092,0.1686,0.1634,0.1006,0.091,0.0485,0.1163,0.1522,0.1382,0.1548,0.4284
"43038",29.91,0.5003,0.1473,0.1925,0.2357,0.1211,0.1522,0.1477,0.1306,0.1334,0.0968,0.2559,0.1377,0.1558,0.1668,0.1896,0.1657,0.1318,0.1485,0.1375,0.101,0.3456,0.0887,0.1696,0.1506,0.1104,0.0958,0.0521,0.1322,0.1402,0.1455,0.184,0.4715
"43039",30.907,0.4996,0.1316,0.1702,0.2167,0.1205,0.1546,0.1137,0.1037,0.1469,0.0933,0.2383,0.108,0.1465,0.1378,0.1708,0.1529,0.1393,0.1586,0.1378,0.1018,0.2794,0.0946,0.1476,0.1177,0.0994,0.0774,0.0569,0.12,0.1233,0.132,0.1691,0.4128
"43040",31.904,0.5375,0.126,0.175,0.2503,0.1228,0.1474,0.101,0.0976,0.1386,0.0821,0.2987,0.1013,0.1177,0.1256,0.1647,0.1489,0.1233,0.137,0.1235,0.0908,0.2747,0.0924,0.1366,0.1064,0.0888,0.0723,0.0547,0.1214,0.1185,0.119,0.1666,0.482
"43041",32.901,0.4193,0.1112,0.1497,0.1897,0.0925,0.1198,0.102,0.0804,0.151,0.0779,0.3214,0.0992,0.1324,0.119,0.1414,0.1596,0.143,0.1454,0.1087,0.0998,0.214,0.0801,0.124,0.1007,0.0748,0.0652,0.049,0.097,0.1004,0.101,0.1278,0.3304
"43042",33.898,0.4776,0.106,0.1438,0.1727,0.0843,0.1112,0.0904,0.0829,0.132,0.0712,0.3606,0.0932,0.1151,0.1111,0.1512,0.1576,0.1433,0.1546,0.1198,0.0991,0.2405,0.089,0.1262,0.0933,0.0762,0.0722,0.0591,0.1114,0.0944,0.109,0.1589,0.4048
"43043",34.895,0.473,0.1107,0.162,0.2131,0.1093,0.1251,0.0824,0.0806,0.1452,0.0741,0.355,0.0823,0.1111,0.1161,0.1574,0.1215,0.1218,0.1392,0.1052,0.0884,0.2113,0.09,0.0971,0.0783,0.0645,0.0704,0.0519,0.0882,0.0801,0.1037,0.1311,0.3554
"43044",35.892,0.4165,0.0837,0.1188,0.186,0.1027,0.105,0.0661,0.0658,0.1684,0.0653,0.3559,0.0696,0.0923,0.1061,0.1679,0.1279,0.1159,0.1326,0.0954,0.085,0.2094,0.0822,0.0809,0.0699,0.061,0.0644,0.0552,0.0764,0.0697,0.0923,0.1215,0.3604
"43045",36.889,0.3892,0.0856,0.1185,0.1739,0.0892,0.1067,0.0698,0.0614,0.1589,0.0725,0.3404,0.0614,0.0834,0.0946,0.1542,0.1166,0.106,0.1204,0.0878,0.0728,0.1667,0.0592,0.0831,0.0588,0.0464,0.0623,0.0481,0.0855,0.0678,0.0766,0.1157,0.313
