"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"29185",0.997,46.0728,35.723,18.9263,8.9308,12.6322,11.959,23.4387,19.6811,8.9337,12.7177,11.7095,20.0173,25.4713,19.5982,31.0715,15.8234,28.2156,78.7515,20.7365,15.7852,8.9205,15.2697,21.3255,25.9277,15.6355,13.0471,6.5752,8.6518,26.3031,20.3854,6.3585,63.4129
"29186",1.994,7.9865,9.6815,7.2029,3.6059,2.159,3.8187,7.8548,5.9355,2.7856,3.542,4.3232,6.924,8.0007,6.4433,5.5761,5.913,7.0828,9.0854,6.7069,5.4496,2.5019,4.1823,6.8639,8.4391,5.1742,1.9701,1.5279,2.7588,8.2284,6.8466,1.9843,15.6038
"29187",2.991,3.0747,6.5685,5.1555,1.7273,1.2234,2.8324,6.3558,5.1476,2.0908,2.4273,3.902,6.0094,6.2137,5.208,3.8354,4.5272,4.964,5.4962,5.3863,4.0592,1.8469,3.6955,5.8367,7.1892,4.7445,1.5936,0.6284,2.345,6.3438,4.8555,1.2405,4.7058
"29188",3.988,1.9555,4.7949,3.531,1.1592,0.941,1.8758,4.4944,3.6592,1.569,1.8388,2.8305,4.2705,4.4397,3.842,2.9471,3.3562,3.7732,3.9361,3.8223,2.8193,1.245,2.6063,4.1159,5.0445,3.4219,1.1597,0.3911,1.6574,4.4671,3.3889,0.8369,2.6199
"29189",4.985,1.3071,3.2297,2.3771,0.8227,0.6798,1.2535,3.0463,2.2939,1.0103,1.2027,1.7749,2.5985,2.5322,2.2596,1.7863,2.0088,2.2272,2.2316,2.0529,1.4096,0.6061,1.4573,2.3527,3.4091,2.0378,0.6703,0.2698,1.0103,2.9146,2.2198,0.5699,1.6369
"29190",5.982,1.3184,3.3151,2.5377,0.8324,0.578,1.1776,3.0377,2.0506,0.9423,1.049,1.4556,2.2159,1.988,1.7968,1.4925,1.3614,1.4464,1.423,1.477,1.0263,0.4092,1.0931,1.8735,3.0684,1.6816,0.5589,0.208,0.8672,2.8216,2.2753,0.5261,1.4077
"29191",6.979,1.2912,3.2885,2.4846,0.8181,0.4923,1.1531,2.8976,1.8119,0.8162,0.8345,1.2554,1.9818,1.9119,1.6186,1.2427,1.185,1.2455,1.2522,1.3598,0.8661,0.3389,0.9554,1.7639,2.6605,1.666,0.5313,0.2012,0.9011,2.8024,2.3317,0.5704,1.4208
"29192",7.976,0.9945,2.5364,2.0627,0.6791,0.4693,0.9337,2.2556,1.5016,0.7223,0.8632,1.1127,1.811,1.8431,1.5684,1.16,1.0628,1.0554,1.0953,1.2057,0.7922,0.2848,0.748,1.5185,2.0886,1.2795,0.5043,0.1568,0.6781,2.1028,1.7985,0.4258,1.0242
"29193",8.973,0.6831,1.738,1.4751,0.4939,0.3541,0.7165,1.6773,1.3175,0.6189,0.6617,1.0056,1.7062,1.7566,1.503,1.0366,0.9922,1.0347,1.0375,1.1468,0.7029,0.2442,0.6846,1.4036,1.7176,1.0706,0.5284,0.1532,0.5411,1.5038,1.2645,0.3018,0.7999
"29194",9.97,0.5394,1.2347,1.0342,0.3659,0.2821,0.5437,1.207,1.0267,0.6014,0.4569,0.7547,1.2743,1.2548,1.0449,0.6922,0.8061,0.9398,1.0132,0.8706,0.6245,0.223,0.5188,1.0464,1.3318,0.77,0.5546,0.138,0.3998,1.1391,0.9641,0.248,0.7032
