"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"33281",0.997,54.9291,60.7148,64.8719,117.5463,0.29,100.913,158.7493,63.6471,128.3875,110.2862,147.0398,65.7479,47.8882,55.9392,67.4813,131.8378,36.2137,44.641,36.3122,46.0302,18.1758,24.77,43.9981,54.6283,30.5705,47.9307,31.8568,33.5921,39.8685,31.9398,88.2755,45.9191
"33282",1.994,18.3339,17.8493,22.1303,36.8351,0.1846,31.4527,25.48,21.1743,32.8888,20.3734,39.8512,19.5912,17.2724,19.7031,23.1809,29.4351,15.941,18.1146,13.8827,15.4045,4.8955,9.1735,14.2743,17.3262,10.0415,7.794,6.0418,9.2926,13.445,9.5524,20.716,8.1917
"33283",2.991,4.8666,5.9283,6.6773,8.6522,0.0746,8.0504,8.2619,7.5564,8.2386,5.9852,9.7204,7.5305,7.2849,7.1532,6.952,9.6258,6.754,7.2431,5.8775,5.6328,1.5457,3.68,6.2613,7.0645,4.2114,2.3251,1.4762,2.8353,5.4072,3.8601,4.4452,3.1167
"33284",3.988,2.4739,3.3948,3.7369,3.9686,0.0542,3.9187,4.9704,4.1516,4.0864,3.5705,4.3394,4.1827,3.6887,3.8048,3.6977,4.2506,3.0496,3.3416,2.9423,3.0052,0.8004,2.0815,3.3066,4.025,2.4809,1.3459,0.7381,1.7002,3.2303,2.3257,1.9187,1.9657
"33285",4.985,1.7778,2.5563,2.555,2.5932,0.031,2.3956,3.3914,2.8433,2.6056,2.3218,2.9475,2.8553,2.5635,2.5844,2.2266,2.745,2.0838,2.0799,2.0019,1.7526,0.5093,1.4974,2.3547,2.9901,1.7541,0.8355,0.4563,1.14,2.4383,1.867,1.3661,1.5165
"33286",5.982,1.5023,2.3353,2.273,2.0912,0.025,2.1343,3.0714,2.5259,2.0724,1.7302,2.625,2.6796,2.2882,2.4571,1.8889,2.0727,1.687,1.5797,1.7202,1.46,0.4357,1.2976,2.0888,2.5916,1.5841,0.7379,0.3525,1.0006,2.2259,1.7446,1.0085,1.3173
"33287",6.979,1.3641,2.1741,2.2656,1.7566,0.0233,1.8987,2.5334,2.1735,1.6326,1.3701,2.3638,2.2567,2.0623,2.2483,1.7603,2.0455,1.7211,1.6612,1.4714,1.2692,0.3512,1.0427,1.742,2.2537,1.2654,0.514,0.241,0.8236,1.9217,1.4809,0.8864,1.1059
"33288",7.976,1.1982,1.9561,1.9523,1.4769,0.02,1.5904,2.2465,1.9106,1.3393,1.2441,2.0469,2.1476,2.1746,2.1994,1.7648,2.0823,1.7509,1.7755,1.5454,1.4039,0.3941,0.9471,1.8314,2.1436,1.2728,0.4835,0.2557,0.8762,1.8258,1.4924,0.899,0.988
"33289",8.973,1.0921,1.9056,1.8278,1.3723,0.0202,1.5079,2.2718,2.1137,1.3759,1.4353,2.3208,2.7193,2.9383,2.7904,2.3536,2.8536,2.3122,2.199,2.2219,1.916,0.5054,1.4204,2.412,2.4815,1.6982,0.6616,0.3562,1.1018,1.9003,1.4577,0.96,0.9423
"33290",9.97,2.9131,5.6267,4.877,3.0828,0.0183,4.2697,7.0094,6.5144,3.1155,2.3139,5.9685,8.4989,8.8337,7.6714,5.0789,6.2526,5.1781,4.7495,6.5186,5.0943,1.295,3.9143,7.8341,8.0882,5.3775,1.9366,1.0075,3.3949,6.1464,4.3572,2.4863,2.5083
