"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"4609",0.997,69.5042,35.8418,44.7019,165.0041,166.4915,71.4971,41.4465,45.3317,81.1445,46.4882,48.9685,40.3476,37.8742,35.6114,40.7401,29.9,29.6252,24.8254,29.3008,17.6017,14.6417,22.7335,36.0372,36.9778,23.693,17.329,56.6994,23.151,30.4195,32.1165,52.9566,34.2394
"4610",1.994,13.5497,8.628,13.2686,44.8221,43.0933,20.4872,12.0068,13.4808,22.4569,12.8727,13.7226,11.0906,10.104,10.9312,11.1557,9.5208,8.5759,7.6186,8.9608,5.0046,2.6615,4.897,9.1506,10.7098,5.7782,2.2783,9.6297,4.0721,8.1493,5.6837,9.4683,5.7851
"4611",2.991,4.1309,3.202,4.1493,10.7763,10.2029,5.44,4.1099,4.2503,6.0977,3.8531,4.2053,3.9375,3.6246,3.9271,3.4888,3.3018,3.0461,2.806,3.1379,1.8754,0.9957,1.9998,3.3263,3.9413,2.452,0.9796,2.9725,1.7835,3.399,2.4253,3.2815,2.1279
"4612",3.988,2.9061,2.572,3.0914,6.1202,5.8963,3.6941,3.3226,3.0299,3.9151,2.2432,2.8747,2.6062,2.1164,2.4483,2.1419,1.7787,1.5445,1.4244,1.6858,1.0349,0.5541,1.1606,2.0957,2.9701,1.6312,0.5185,1.4902,1.0994,2.5297,1.634,1.3457,1.3586
"4613",4.985,1.4408,1.3705,1.5085,2.841,3.0408,1.7387,1.6955,1.5027,1.95,1.3801,1.4912,1.3578,1.0931,1.2845,1.2735,1.0714,0.9125,0.842,0.9003,0.6131,0.3614,0.7207,1.1672,1.5808,0.965,0.3166,1.0754,0.6318,1.465,0.9607,0.8764,0.8853
"4614",5.982,1.2172,1.0922,1.1539,1.6153,1.905,1.1843,1.3163,1.2035,1.2625,0.9773,1.1116,1.1075,0.931,1.0365,0.9732,0.8814,0.8267,0.7128,0.6895,0.4363,0.2695,0.5099,0.9216,1.2482,0.7084,0.235,0.8424,0.5012,1.0761,0.7834,0.5845,0.7213
"4615",6.979,1.0797,1.0737,1.1048,1.3951,1.4966,1.0154,1.2229,0.9719,1.0046,0.6875,0.8525,0.8664,0.7556,0.8043,0.7381,0.6599,0.6406,0.6008,0.5826,0.3949,0.2272,0.4156,0.7522,1.0327,0.6145,0.2042,0.6812,0.4375,1.0062,0.756,0.4353,0.6135
"4616",7.976,1.0425,1.0647,1.0175,1.1862,1.4508,0.9505,1.2371,1.0285,1.027,0.7361,0.9388,0.9976,0.8807,0.9193,0.7888,0.7362,0.69,0.6248,0.7157,0.4674,0.2716,0.5393,0.8983,1.1654,0.7632,0.2421,0.5671,0.545,1.1429,0.8518,0.4952,0.6257
"4617",8.973,1.2907,1.3071,1.3672,1.8449,2.6254,1.4975,1.5609,1.5714,1.8518,1.3815,1.6724,1.5017,1.2999,1.5296,1.3967,1.1134,0.9485,0.8295,0.993,0.6541,0.377,0.7327,1.257,1.4873,1.016,0.3148,0.5178,0.6467,1.3187,0.987,0.6288,0.7104
"4618",9.97,1.3722,1.3681,1.5406,2.3,3.7082,1.8961,1.7247,1.8788,2.7993,2.1126,2.0432,1.6136,1.3186,1.6808,1.9383,1.3359,1.0808,0.9349,0.9928,0.8791,0.5928,0.7763,1.2667,1.6081,1.0077,0.3969,0.5162,0.6565,1.3929,0.9945,0.5646,0.7399
"4619",10.967,1.8129,1.6731,1.8722,2.0782,2.7843,2.1266,2.0604,2.2462,2.8849,2.0286,2.4915,1.9055,1.5224,2.0757,2.1872,1.457,1.1087,0.912,1.0814,0.7713,0.5381,0.7404,1.3864,1.8412,1.108,0.419,0.5109,0.7119,1.5863,1.2131,0.6278,0.9495
"4620",11.964,1.4915,1.3675,1.4999,1.6123,2.135,1.7318,1.6722,1.8778,2.3977,1.7109,2.2158,1.5438,1.3124,1.8235,2.0577,1.4097,1.0769,0.9087,1.0743,0.7683,0.4604,0.7981,1.2425,1.5852,1.103,0.3773,0.4584,0.7364,1.4093,1.0802,0.6091,0.9645
"4621",12.961,1.3908,1.229,1.3218,1.3849,1.6793,1.4429,1.4641,1.6514,1.862,1.4073,1.953,1.4445,1.3327,1.7463,1.7238,1.317,1.0175,0.8821,1.3075,0.7623,0.3977,0.9476,1.3468,1.3915,1.2468,0.3588,0.4166,0.715,1.3688,1.0369,0.5197,0.8695
"4622",13.958,1.1233,1.0558,1.0864,0.8721,0.9369,1.0427,1.2433,1.3207,1.0701,0.9055,1.4954,1.2252,1.1442,1.4829,1.3695,1.1594,0.9124,0.7923,1.1243,0.7195,0.3365,0.9345,1.1186,1.2018,1.004,0.3328,0.3139,0.5945,1.1627,0.8735,0.4188,0.7198
"4623",14.955,1.1433,1.0428,1.0868,0.8167,0.7889,0.9685,1.2188,1.242,0.9272,0.8574,1.4543,1.1688,1.0718,1.4698,1.3315,1.1362,0.8704,0.7555,0.9852,0.6859,0.3224,0.8565,1,1.1072,0.9242,0.3041,0.3067,0.5824,1.0634,0.8821,0.4074,0.6482
"4624",15.952,1.092,0.8911,0.9136,0.6947,0.702,0.8485,1.0753,1.2505,0.8394,0.8275,1.6676,1.265,1.1757,1.7017,1.3051,1.1273,0.8662,0.7264,1.0362,0.7252,0.3507,0.8935,1.0316,1.0988,0.8926,0.3414,0.2759,0.5159,0.9547,0.7373,0.369,0.5954
"4625",16.949,0.9731,0.8608,0.8596,0.6194,0.6465,0.7459,1.0055,1.0378,0.661,0.6972,1.2493,1.082,0.9793,1.3056,1.0784,0.9149,0.7016,0.6168,1.0167,0.6322,0.3238,0.9922,1.0344,1.0735,0.8975,0.318,0.2476,0.476,0.9075,0.6967,0.3304,0.5894
"4626",17.946,1.0704,0.9132,0.9228,0.6982,0.6449,0.7863,1.106,1.1504,0.5954,0.5995,1.1926,1.2173,1.0511,1.2668,0.8912,0.7884,0.6622,0.6341,0.9806,0.5689,0.3097,0.8101,1.0599,1.1646,0.8359,0.2534,0.2349,0.4249,0.9231,0.6917,0.335,0.6792
"4627",18.943,1.0265,0.9242,0.9641,0.6508,0.4717,0.7986,1.0865,1.0397,0.529,0.5078,1.0025,1.0128,0.8316,1.0663,0.6956,0.6473,0.5171,0.4645,0.7447,0.4251,0.2913,0.6801,0.9024,1.1261,0.7895,0.2507,0.2004,0.398,0.9096,0.7096,0.3334,0.6065
"4628",19.94,0.9692,0.9659,0.9548,0.6509,0.5377,0.7527,1.1415,0.9767,0.5114,0.5156,0.9114,0.9971,0.8919,0.9929,0.6731,0.6089,0.5482,0.5263,0.8722,0.467,0.3527,0.742,1.0164,1.2168,0.8841,0.2796,0.2349,0.4708,0.9981,0.7854,0.3402,0.5923
"4629",20.937,1.0297,0.9986,0.9635,0.6732,0.5874,0.8187,1.2064,0.9978,0.5314,0.5152,0.8304,0.8606,0.7478,0.843,0.6509,0.5544,0.5029,0.4706,0.6876,0.4007,0.3312,0.5834,0.8551,1.204,0.7771,0.2576,0.2304,0.4896,1.0611,0.8315,0.3629,0.6379
