"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"24577",0.997,62.1261,54.6445,52.1551,91.5304,44.6693,32.4243,43.0023,46.5274,60.1627,38.3598,23.5193,28.6457,27.2513,24.5684,19.9672,21.6787,32.2907,18.8863,19.8749,25.8033,6.8021,21.4005,29.4275,30.8567,23.9742,63.9427,40.3791,24.4277,34.9966,33.2829,64.0807,77.6315
"24578",1.994,7.3497,10.1665,7.2,9.1685,6.3444,4.9432,8.9641,7.4313,7.6627,5.7468,5.8987,7.4844,7.364,7.3061,5.8272,5.8097,7.3801,4.8808,5.7881,4.8397,1.3777,3.952,7.0107,9.858,5.8638,7.1848,4.1436,4.2898,8.6743,6.7055,7.5074,8.76
"24579",2.991,2.1715,3.1382,2.1853,1.8046,1.368,1.6338,3.0823,3.0485,2.2141,1.7405,2.8154,3.5636,4.2322,3.9123,3.0122,2.9554,2.8541,2.4899,3.3191,2.408,0.689,2.059,3.3696,3.7639,2.3683,2.2249,0.8458,1.5653,3.1592,2.5859,1.7702,2.3437
"24580",3.988,1.297,2.361,1.5866,1.179,0.9383,1.176,2.2274,1.9876,1.4357,1.1855,1.8211,2.3555,2.6259,2.4481,1.9415,1.8936,1.7284,1.5327,1.9861,1.5171,0.4473,1.3142,2.2307,2.5596,1.7024,1.2425,0.5438,1.0994,2.4081,1.7963,1.0852,1.2561
"24581",4.985,1.0014,1.9826,1.2459,0.7864,0.6742,0.9015,1.9503,1.6402,1.0615,0.9313,1.3486,1.8893,1.9324,1.7326,1.3113,1.3515,1.2978,1.0581,1.4176,0.9178,0.3126,0.9382,1.8084,2.2216,1.421,0.8784,0.3324,0.9217,2.106,1.6148,0.7856,1.0008
"24582",5.982,0.8228,1.6087,0.8618,0.6455,0.4755,0.7057,1.5349,1.2632,0.863,0.6109,0.9867,1.4829,1.5587,1.3234,0.938,1.0144,0.949,0.8737,1.2157,0.8292,0.2781,0.795,1.4571,1.8327,1.2223,0.6205,0.2224,0.6319,1.7252,1.2099,0.5186,0.7678
"24583",6.979,0.8656,1.6033,0.9288,0.6146,0.4943,0.7071,1.5031,1.1365,0.7675,0.5297,0.8164,1.2128,1.1153,0.9794,0.7203,0.7202,0.6765,0.6628,0.9182,0.711,0.2929,0.6554,1.16,1.5961,1.0692,0.4397,0.2056,0.5769,1.6299,1.1805,0.5011,0.7275
"24584",7.976,0.7372,1.2051,0.6996,0.4513,0.3309,0.4698,1.0526,0.7663,0.5492,0.5395,0.605,0.844,0.8172,0.7573,0.6636,0.6527,0.6115,0.5515,0.6225,0.5078,0.2772,0.4518,0.8079,1.1467,0.7625,0.3219,0.1346,0.4371,1.2055,0.9063,0.3892,0.6429
"24585",8.973,0.5121,0.8288,0.5637,0.3194,0.2782,0.4112,0.778,0.6894,0.4333,0.5489,0.5381,0.774,0.8428,0.7015,0.5778,0.6411,0.6322,0.5956,0.6224,0.4334,0.3247,0.4071,0.7355,0.9091,0.5911,0.3076,0.1332,0.3617,0.8511,0.652,0.3184,0.434
"24586",9.97,0.5275,0.736,0.5461,0.3409,0.2474,0.4074,0.7084,0.6863,0.4839,0.4645,0.5155,0.6757,0.7098,0.6307,0.5353,0.5815,0.5495,0.5225,0.5712,0.4517,0.3848,0.367,0.6324,0.7856,0.531,0.3223,0.1145,0.3108,0.7492,0.5644,0.2854,0.4331
"24587",10.967,0.4404,0.6524,0.5617,0.3279,0.2734,0.4363,0.661,0.7881,0.4844,0.5564,0.6305,0.7151,0.7715,0.768,0.6755,0.7225,0.6444,0.5817,0.5918,0.5168,0.4759,0.3406,0.5998,0.7058,0.5092,0.3113,0.1106,0.2806,0.6238,0.4959,0.2793,0.3774
"24588",11.964,0.5006,0.6975,0.5981,0.4043,0.2832,0.4335,0.7175,0.7738,0.5391,0.6249,0.6157,0.7906,0.8252,0.7995,0.806,0.7395,0.6126,0.5918,0.6261,0.7014,0.505,0.3372,0.634,0.7682,0.5615,0.3324,0.12,0.3177,0.665,0.5402,0.3013,0.3839
"24589",12.961,0.5281,0.5876,0.5278,0.4087,0.303,0.4015,0.5691,0.6313,0.5832,0.756,0.5398,0.6483,0.8845,0.8164,0.8456,0.8629,0.7101,0.7479,0.8385,1.0268,0.7208,0.3735,0.601,0.6442,0.5538,0.359,0.1225,0.3014,0.5619,0.4914,0.3057,0.3825
"24590",13.958,0.6307,0.5303,0.5288,0.4138,0.2988,0.4337,0.5411,0.5992,0.6428,0.8578,0.6031,0.5985,0.8387,0.9192,0.9278,0.9388,0.7009,0.7669,0.925,1.2181,0.8686,0.4124,0.5219,0.558,0.4116,0.344,0.1077,0.2531,0.464,0.4307,0.2746,0.4116
"24591",14.955,0.5556,0.4787,0.4255,0.3886,0.2984,0.3648,0.4277,0.4738,0.7619,1.0311,0.5367,0.4861,0.7645,0.8998,0.8199,0.9093,0.68,0.7078,0.777,0.9042,0.9999,0.3506,0.4095,0.4256,0.3205,0.3038,0.1002,0.1973,0.3781,0.4012,0.215,0.3453
"24592",15.952,0.5134,0.4663,0.4536,0.3912,0.2839,0.3905,0.4605,0.5135,0.7135,1.1181,0.5308,0.5053,0.7138,0.791,0.7467,0.7294,0.5223,0.4987,0.5731,0.6003,1.1531,0.304,0.4379,0.4642,0.3526,0.3613,0.0905,0.2084,0.4155,0.3941,0.1815,0.2982
"24593",16.949,0.5116,0.5029,0.4645,0.4403,0.2734,0.414,0.5225,0.5452,0.8361,0.9913,0.5651,0.5701,0.8703,0.8722,0.7544,0.8567,0.6623,0.6201,0.6903,0.5829,1.2956,0.3415,0.4868,0.514,0.3786,0.3889,0.1012,0.2463,0.4832,0.4513,0.2186,0.3773
