"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"37889",0.997,51.1758,21.9956,20.187,106.3211,35.8037,49.9572,16.6658,12.4355,102.632,22.0443,52.3899,19.5723,123.7815,15.637,11.158,35.744,96.2618,10.1502,12.9609,6.4548,5.5244,16.6028,85.1821,23.4464,13.9164,17.9113,5.8202,12.4064,26.8542,22.2308,21.3147,53.5648
"37890",1.994,9.8312,9.1833,7.6125,23.2675,7.9487,13.4189,9.1068,6.8345,22.4419,4.1655,18.3718,8.0809,35.7907,8.0596,5.4283,10.281,17.1629,4.5549,6.7535,3.946,1.2027,6.3489,23.3708,9.7997,6.4351,4.549,1.6957,4.9138,11.4519,7.803,4.9598,10.7102
"37891",2.991,2.5141,2.9032,2.7056,6.9396,2.9185,4.5461,3.1742,2.4365,5.1613,1.7306,5.1887,3.0355,12.9891,3.1202,1.9703,3.1664,4.32,2.1801,2.9192,1.6325,0.4295,2.3681,7.9137,3.4249,2.3606,1.3255,0.461,1.7627,4.3419,2.7767,1.8481,3.4215
"37892",3.988,1.3229,1.8352,1.5449,2.9273,1.1674,2.131,1.9288,1.4503,2.0348,0.9622,2.3615,1.8521,6.5041,1.769,1.051,1.7736,2.0149,1.2499,1.6341,0.8577,0.2281,1.1648,4.0652,2.1231,1.3305,0.6752,0.2592,0.9903,2.6396,1.6348,1.0049,1.7436
"37893",4.985,0.8,1.0853,0.9435,1.38,0.6493,1.1898,1.2635,0.9022,0.9865,0.4709,1.1264,1.0688,4.4852,0.9359,0.574,0.7673,0.9414,0.6096,0.8487,0.4636,0.141,0.6517,2.8005,1.4749,0.8045,0.3891,0.131,0.5741,1.7794,0.9348,0.5135,0.9167
"37894",5.982,0.7135,1.0853,0.9207,1.1314,0.5358,0.9919,1.3178,0.8904,0.6627,0.3994,0.859,1.019,4.1145,0.902,0.5699,0.7178,0.7359,0.5209,0.7213,0.3802,0.1262,0.4993,2.0693,1.5147,0.7823,0.2497,0.1074,0.5419,1.7283,0.9119,0.4494,0.8043
"37895",6.979,0.6269,1.198,1.0062,0.8581,0.4962,0.8834,1.4586,0.9553,0.5609,0.3406,0.8098,1.0419,3.3489,0.8616,0.5259,0.6238,0.6512,0.4564,0.6915,0.3289,0.1411,0.4996,1.6464,1.5665,0.8838,0.2609,0.1006,0.6038,1.787,1.0215,0.4624,0.7695
"37896",7.976,0.6487,1.2039,0.9585,0.7279,0.4158,0.8881,1.3314,0.9046,0.5668,0.4594,0.7724,1.1072,2.9017,0.9525,0.7331,0.7975,0.8123,0.7401,0.9062,0.4505,0.1942,0.5309,1.72,1.4168,0.8842,0.2358,0.1093,0.6093,1.6563,1.0741,0.4553,0.8088
"37897",8.973,0.7393,1.2496,1.1024,0.8726,0.4276,1.0333,1.4228,1.0521,0.6072,0.4939,0.9816,1.2486,3.0049,1.3539,1.0598,1.2486,1.2888,1.1264,1.115,0.6277,0.251,0.5522,1.6397,1.4077,0.8845,0.2911,0.1262,0.622,1.4836,1.0312,0.5073,0.7853
"37898",9.97,0.827,1.5068,1.2442,0.9474,0.5013,1.1621,1.635,1.3227,0.7369,0.6666,1.4381,2.0562,4.9994,3.0957,2.1394,3.3401,3.3483,3.2459,2.0706,1.4333,0.3598,0.5656,2.3274,1.8773,1.1671,0.3479,0.1806,0.8639,1.9887,1.311,0.6491,0.9193
