"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"19457",0.997,33.7186,16.1806,20.3486,54.8095,71.5529,21.2291,18.6117,36.0478,28.1784,29.6109,21.801,72.7142,24.1679,23.6242,45.1622,32.5395,23.2598,54.9605,46.9864,23.7048,52.3629,16.5471,25.7931,11.6643,11.7689,35.1495,26.0577,43.1453,19.8171,55.7019,56.3363,68.6941
"19458",1.994,4.5598,1.6794,2.512,6.4617,8.3656,2.6043,1.9497,3.6156,4.1852,5.6595,3.4844,8.3429,3.8447,3.8164,6.339,6.3174,5.6725,6.892,5.0674,4.7846,7.9954,3.6463,4.0345,1.612,1.723,4.7711,5.6522,4.6341,2.6684,5.6194,8.0688,10.0047
"19459",2.991,1.3664,0.4128,0.7059,2.1159,2.5509,0.9209,0.4389,1.0363,1.5375,2.4436,1.2876,2.1846,1.2361,1.3108,2.6821,2.7004,2.4197,2.7024,1.866,2.1504,3.2619,1.4392,1.108,0.396,0.6736,2.0383,2.5796,1.725,0.6206,1.3505,2.4248,1.9086
"19460",3.988,0.7308,0.2053,0.3797,1.4169,1.4129,0.5634,0.228,0.6895,1.1725,1.6244,0.9366,1.2447,0.9727,1.0774,1.9304,1.9489,1.8175,1.9895,1.2662,1.4772,2.0041,1.0541,0.7509,0.2167,0.4823,1.2847,1.6435,1.1098,0.3756,0.8917,1.6231,1.1842
"19461",4.985,0.4651,0.1177,0.2644,0.9086,1.0132,0.4771,0.173,0.526,0.8419,1.355,0.7541,0.839,0.7108,0.8479,1.5844,1.4608,1.3325,1.3399,0.9081,0.9962,1.4322,0.6482,0.471,0.1406,0.3385,0.8355,1.0277,0.6294,0.2289,0.4432,0.9723,0.7472
"19462",5.982,0.3772,0.0961,0.2242,0.8716,0.9417,0.3855,0.1407,0.4437,0.8316,1.2645,0.676,0.696,0.6488,0.7337,1.4603,1.343,1.233,1.2507,1.0118,1.0569,1.2254,0.7818,0.4916,0.1363,0.3949,0.7514,0.8996,0.5499,0.2183,0.3975,0.8052,0.588
"19463",6.979,0.3541,0.133,0.2305,0.8232,0.986,0.3817,0.1241,0.4566,0.9416,1.6832,0.8229,0.7436,0.6721,0.778,1.8344,1.5428,1.3294,1.3871,0.9497,1.2809,1.6694,0.8453,0.5113,0.1316,0.4022,0.8186,1.0552,0.5659,0.1896,0.3693,0.7647,0.6308
"19464",7.976,0.4178,0.1263,0.2723,1.0071,1.4548,0.4564,0.1172,0.572,1.545,3.2944,1.3808,0.8927,1.0884,1.3008,3.4264,2.6513,2.1294,2.1772,1.5449,2.1403,2.6132,1.2404,0.901,0.1991,0.6484,1.0807,1.3061,0.7489,0.1997,0.3679,0.8811,0.6909
"19465",8.973,0.5361,0.1184,0.2665,1.5203,2.8278,0.8167,0.1332,1.1493,3.5995,8.1973,3.2389,1.5277,1.5601,3.0568,9.5638,6.8067,4.6823,4.6859,2.2437,5.0621,6.61,1.9974,1.0282,0.2426,0.7494,1.9463,2.1268,0.9279,0.17,0.3532,1.1245,0.8487
"19466",9.97,0.6696,0.1464,0.3071,1.7798,3.2892,1.0951,0.152,1.1827,4.066,7.4904,3.436,1.239,1.8663,3.2333,10.3531,7.8463,4.7286,4.7832,3.0106,5.8697,6.0895,2.5142,1.2187,0.2097,0.9102,2.4242,2.5981,1.1637,0.1748,0.4053,1.4365,1.0461
"19467",10.967,1.0746,0.1707,0.4348,2.4828,3.8516,1.8873,0.2911,1.666,5.1351,7.0002,4.1463,1.9396,3.5912,5.2185,12.9685,11.3592,5.8645,6.1083,6.5165,6.4733,5.0132,3.464,2.2554,0.2541,1.2558,2.5111,3.1558,1.3138,0.2177,0.46,1.9492,2.0845
"19468",11.964,0.3654,0.0833,0.1964,0.8967,1.2716,0.7289,0.1415,0.7585,1.956,2.4832,1.5087,1.0903,2.1013,2.477,3.8723,5.3141,4.3448,4.375,3.7531,3.5264,2.4948,2.242,1.3327,0.1645,0.912,1.3047,1.2858,0.7999,0.1677,0.2747,0.7815,0.7331
"19469",12.961,0.2777,0.0549,0.1432,0.623,0.8266,0.4918,0.0801,0.454,1.3406,1.4524,0.9237,0.5768,1.056,1.3324,2.0124,3.268,3.1676,2.9709,1.6588,1.773,1.4516,1.1191,0.6448,0.0977,0.6172,0.7799,0.8459,0.5542,0.1166,0.203,0.5179,0.4599
"19470",13.958,0.2518,0.0623,0.1352,0.6125,0.6725,0.4081,0.0688,0.3505,1.3101,1.1682,0.7145,0.4515,0.6839,0.8512,1.5472,2.1901,2.0905,1.9959,1.1281,1.4258,1.3082,0.913,0.4734,0.0941,0.4179,0.6514,0.6786,0.4734,0.0954,0.1788,0.4458,0.3328
"19471",14.955,0.269,0.0596,0.1527,0.5674,0.6498,0.3597,0.0638,0.2984,1.4189,1.071,0.5507,0.3894,0.5395,0.5808,1.2615,1.3089,1.1376,1.1,0.8335,0.9946,1.035,0.7357,0.4487,0.0869,0.4113,0.5632,0.5947,0.3867,0.1123,0.1706,0.4078,0.333
"19472",15.952,0.2765,0.06,0.1512,0.6879,0.723,0.4478,0.0583,0.3187,1.7027,1.1431,0.6184,0.4256,0.5253,0.5792,1.2723,1.1182,0.9976,1.031,0.8151,0.9707,1.0869,0.7365,0.433,0.0918,0.3709,0.5626,0.5995,0.3758,0.0906,0.178,0.396,0.3079
"19473",16.949,0.3079,0.0572,0.1475,0.878,0.8724,0.5877,0.0639,0.3811,2.0292,1.2714,0.7475,0.4292,0.5045,0.6008,1.3784,1.0242,0.9023,0.9834,0.8603,0.9903,1.1068,0.8134,0.398,0.0903,0.3689,0.5992,0.6835,0.3598,0.087,0.1683,0.4096,0.359
