"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"32257",0.997,803.7825,36.595,1259.1537,405.9701,196.1308,55.7831,48.9032,47.7466,418.4837,32.4326,109.3539,84.9197,34.8726,37.5502,35.1967,50.1899,83.2437,536.5591,43.4867,30.301,353.7705,124.8875,32.8006,43.7573,34.6941,122.4867,102.7839,35.0697,44.3755,240.4405,51.3115,2308.7881
"32258",1.994,67.1359,4.0245,94.6314,31.4129,27.5862,5.1679,5.8915,4.5668,33.1447,3.2878,8.7706,11.6294,4.3446,4.05,3.3121,4.1152,5.4089,16.0154,4.4307,3.2646,32.0239,12.6575,5.0587,5.2057,4.1784,9.8408,11.361,3.78,4.7417,14.8381,6.1688,161.1832
"32259",2.991,12.3571,1.5031,9.3047,5.2603,5.6754,1.5881,2.4405,1.7077,5.7978,1.4316,3.6103,5.1972,1.937,1.6456,1.3113,1.5845,1.6993,2.8245,1.8045,1.2705,6.065,3.2946,2.24,2.3451,1.6578,1.7399,2.0131,1.314,1.9978,2.3242,2.0319,27.5187
"32260",3.988,7.7823,1.086,5.463,2.8561,3.424,1.0184,1.8856,1.2128,3.9752,1.3521,2.5644,4.1016,1.3015,1.0993,0.9108,1.0633,1.1299,1.5965,1.2719,0.8869,3.9424,1.8986,1.5309,1.7395,1.1859,0.8362,0.814,0.8537,1.5188,1.747,1.3382,15.0641
"32261",4.985,5.3656,1.0127,3.2328,1.8632,2.4937,0.8492,1.6704,1.2499,3.7363,3.4302,2.6027,3.2837,1.5239,1.6513,1.9847,2.3776,2.2326,2.1086,1.4112,0.9648,3.0486,1.2913,1.5217,1.7015,1.2531,0.714,0.6625,0.8714,1.5375,1.4607,1.3018,10.9851
"32262",5.982,4.3501,0.7427,2.4038,1.1178,1.9169,0.6828,1.2135,0.9411,2.6982,2.864,1.9717,2.783,1.1661,1.3431,1.737,2.0178,1.8697,1.6358,1.1265,0.7585,2.4379,0.988,1.1497,1.2193,0.9249,0.4953,0.4272,0.7162,1.1305,1.0599,1.1415,7.7425
"32263",6.979,3.3996,0.6707,1.8998,0.9491,1.484,0.6067,0.9795,0.867,2.4382,3.0357,1.972,2.1819,1.1099,1.3232,1.7985,2.1085,1.9592,1.5922,1.0541,0.7495,1.7951,0.8625,1.0513,1.1027,0.8517,0.4647,0.403,0.7093,0.9821,1.0262,1.0589,6.4494
"32264",7.976,2.8841,0.4151,1.3774,0.764,1.2244,0.3902,0.7384,0.5517,1.4959,1.4605,1.1472,1.6282,0.7184,0.7648,0.8973,1.1722,1.1368,1.1101,0.6527,0.4883,1.6175,0.5665,0.7077,0.7181,0.5415,0.3084,0.2758,0.4054,0.5911,0.6499,0.5469,5.35
"32265",8.973,2.2908,0.4701,1.2665,0.7711,1.172,0.4279,0.7651,0.6155,1.593,1.6562,1.2495,1.6673,0.771,0.8477,0.9937,1.3403,1.1873,1.1305,0.715,0.4675,1.3992,0.5352,0.722,0.7727,0.5651,0.3232,0.2707,0.4205,0.6283,0.6625,0.5952,4.6938
"32266",9.97,1.9139,0.5027,1.1599,0.7367,0.973,0.3912,0.7966,0.6655,1.7699,1.561,1.12,1.5773,0.8564,0.8818,0.9814,1.3158,1.2032,1.1886,0.8042,0.5261,1.2402,0.6208,0.8375,0.8605,0.6533,0.4015,0.275,0.4181,0.7165,0.6819,0.5638,4.6901
"32267",10.967,1.8641,0.5325,1.2185,0.8188,0.9968,0.463,0.8398,0.7375,1.8536,1.4331,1.2378,1.3718,1.0055,0.9994,1.1039,1.3312,1.2733,1.3049,0.9424,0.6431,1.1437,0.7254,0.9833,0.9311,0.7604,0.4641,0.28,0.5,0.782,0.7864,0.6308,4.6906
"32268",11.964,1.7131,0.508,1.0206,0.8401,1.0703,0.5233,0.7864,0.6799,2.0511,1.3515,1.0873,1.4358,0.9455,0.9257,1.0057,1.3004,1.1762,1.1971,0.8938,0.6072,0.9509,0.7483,0.9297,0.8432,0.703,0.4466,0.2569,0.5366,0.7159,0.7096,0.6319,4.4083
"32269",12.961,1.5784,0.4711,1,0.9128,1.0125,0.4881,0.69,0.6473,2.0766,1.5317,1.1934,1.2324,0.9207,1.0106,1.1615,1.3737,1.227,1.2084,0.8931,0.5947,0.9164,0.7231,0.8398,0.7618,0.6648,0.45,0.2779,0.5287,0.6275,0.6844,0.6436,3.8271
"32270",13.958,1.3743,0.4118,0.9292,0.8199,0.8122,0.3704,0.5885,0.6137,1.7827,1.5745,1.1077,1.0565,0.7241,0.8646,1.0783,1.1274,1.0329,0.9269,0.7069,0.5024,0.7272,0.6241,0.672,0.6164,0.6258,0.4275,0.3017,0.5295,0.5188,0.6275,0.6057,3.299
"32271",14.955,1.189,0.3715,0.8195,0.793,0.7984,0.3466,0.5183,0.4973,1.6405,1.4199,0.9464,0.8561,0.6042,0.6955,0.8974,0.9614,0.8748,0.7895,0.5989,0.4185,0.6536,0.5394,0.5621,0.5317,0.5372,0.3725,0.2574,0.4771,0.4598,0.5465,0.5137,2.9423
"32272",15.952,1.2455,0.3879,0.8476,0.8997,0.7588,0.3086,0.5375,0.5876,1.3753,1.2803,1.0639,0.9034,0.5644,0.6581,0.7908,0.8845,0.7906,0.7138,0.5215,0.3796,0.6792,0.5003,0.528,0.5162,0.4825,0.4005,0.2332,0.4847,0.4723,0.5205,0.496,2.6206
"32273",16.949,1.3257,0.3779,0.8565,0.9769,0.6783,0.3211,0.5128,0.5404,1.35,1.2349,0.9432,0.9622,0.5332,0.6101,0.7702,0.862,0.7713,0.673,0.5211,0.398,0.6815,0.4697,0.5314,0.5123,0.4908,0.3775,0.2564,0.4703,0.4557,0.5009,0.4576,2.9346
"32274",17.946,1.0266,0.3916,0.8414,0.8925,0.6934,0.3676,0.5473,0.5936,1.2289,1.0585,0.8481,0.9033,0.5579,0.5932,0.6521,0.7922,0.7239,0.6637,0.5295,0.3886,0.5326,0.4718,0.5706,0.5316,0.5129,0.3588,0.2995,0.4515,0.4716,0.4925,0.5014,2.6779
