"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"26113",0.997,29.4491,27.7282,31.0541,32.7984,80.2231,NA,NA,25.2631,25.6352,24.0442,27.1913,27.0375,30.1224,26.7541,25.1947,29.6934,24.5187,24.0373,46.5919,20.0696,28.5317,17.4182,NA,27.4191,64.4877,11.6934,9.9817,18.6801,59.8285,137.2163,11.969,62.441
"26114",1.994,4.2174,4.5265,4.4323,5.9333,11.7052,NA,NA,4.4384,4.8905,4.7483,4.6749,5.215,5.9149,5.2012,4.9036,5.2132,4.7066,4.5417,5.545,3.797,5.3103,3.7627,NA,4.8679,4.6695,1.814,1.1717,3.0242,9.4829,14.3025,2.2939,14.0671
"26115",2.991,1.3085,2.1651,1.8486,1.6712,2.2843,NA,NA,1.9259,1.6417,1.6462,1.7904,2.4388,2.5102,2.096,1.6412,1.7849,1.8079,1.7277,2.1309,1.3526,1.1584,1.568,NA,2.5745,2.0445,0.8424,0.4353,1.4307,2.8765,4.3063,1.2158,3.398
"26116",3.988,0.7386,1.1023,0.9964,1.0256,1.3213,NA,NA,1.1048,1.0711,1.0592,1.1163,1.3258,1.374,1.2592,1.0667,1.1487,1.1652,1.023,1.112,0.7473,0.5398,0.8893,NA,1.3354,1.2021,0.517,0.2378,0.7506,1.257,1.8196,0.6259,1.8759
"26117",4.985,0.6107,0.9024,0.7978,0.8067,1.0961,NA,NA,0.8648,0.8678,0.9866,0.8786,1.0258,1.0375,0.9573,0.8973,0.889,0.8536,0.7089,0.8638,0.5288,0.3226,0.6306,NA,1.077,0.8194,0.3256,0.1715,0.5557,0.9548,1.3428,0.4681,1.1074
"26118",5.982,0.5529,0.8405,0.7708,0.7835,0.9343,NA,NA,0.7968,0.8001,0.8308,0.8055,0.8802,0.8842,0.8253,0.7898,0.7547,0.6701,0.5579,0.6649,0.4517,0.2504,0.5211,NA,0.9794,0.6976,0.3053,0.1517,0.5015,0.8658,1.2976,0.4182,0.9384
"26119",6.979,0.4741,0.8136,0.698,0.6436,0.7673,NA,NA,0.6774,0.6787,0.6597,0.6517,0.7498,0.7379,0.671,0.5873,0.5447,0.5014,0.4423,0.605,0.391,0.2167,0.4407,NA,0.8876,0.6154,0.2746,0.1285,0.4491,0.8285,1.1923,0.3857,0.7616
"26120",7.976,0.4603,0.7699,0.693,0.6512,0.7139,NA,NA,0.7563,0.7527,0.7504,0.7744,0.8336,0.8377,0.816,0.7258,0.645,0.5948,0.5255,0.693,0.493,0.2718,0.5204,NA,0.8702,0.663,0.3214,0.1217,0.4459,0.7981,1.0633,0.3687,0.6806
"26121",8.973,0.542,0.8571,0.7961,0.6009,0.6911,NA,NA,0.8845,0.7391,0.7822,0.9186,1.039,1.087,1.0143,0.8517,0.8015,0.7782,0.7482,0.9995,0.6565,0.2765,0.7376,NA,1.0335,0.8402,0.4349,0.1335,0.5075,0.8903,1.0872,0.3904,0.7957
"26122",9.97,0.4392,0.6269,0.5526,0.5065,0.6754,NA,NA,0.7208,0.6817,0.7281,0.8693,0.9665,1.0261,1.0006,0.8654,0.8456,0.7553,0.715,0.872,0.6232,0.2796,0.6236,NA,0.8549,0.6973,0.3972,0.1088,0.3706,0.6844,0.7999,0.2924,0.6415
