"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"16897",0.997,125.3456,39.512,14.7585,43.7669,1431.8169,18.8637,18.0098,16.4177,59.243,140.2652,18.92,14.738,16.3702,12.6207,9.6026,13.4348,41.7582,28.3713,18.4667,10.4833,1067.0841,8.3255,32.7287,41.207,107.2813,1145.8964,55.0867,40.601,14.8584,25.6066,2079.5583,40.5858
"16898",1.994,5.8493,6.8674,4.172,4.4921,28.4903,3.5943,5.4467,3.9717,3.9013,5.1853,3.4162,4.5626,5.9308,4.9097,3.2147,5.8505,6.1979,5.0642,4.722,2.5203,19.5227,2.0688,5.9926,7.7063,6.7718,20.9639,2.9412,2.3238,4.5894,3.0823,34.6295,4.0129
"16899",2.991,1.9087,3.8736,2.9352,2.157,3.7184,2.3972,4.2251,3.0004,1.9898,2.0013,2.3351,3.4442,3.7036,3.0284,2.1127,3.2006,3.1834,2.4667,2.565,1.2636,2.0018,1.2522,3.1608,4.496,2.9528,1.6061,0.4264,0.8719,3.0367,1.6635,2.7452,1.0609
"16900",3.988,1.3894,3.7087,2.637,1.9207,2.5045,2.2466,4.3094,2.9748,1.9373,1.7915,2.3107,3.2916,3.2359,2.7045,1.9759,2.5733,2.7041,2.2486,2.2413,1.1731,1.2084,1.0961,2.75,3.9513,2.4204,1.0991,0.2509,0.758,2.982,1.4707,1.9312,0.7749
"16901",4.985,0.8708,2.385,1.7718,1.2928,1.5704,1.3894,2.8154,1.7034,1.1734,1.1424,1.3469,1.8681,1.9731,1.6777,1.2045,1.7278,1.7862,1.4518,1.3552,0.6505,0.8153,0.6532,1.5969,2.3251,1.2204,0.5785,0.146,0.4601,1.9134,0.9463,0.9801,0.44
"16902",5.982,0.611,1.9748,1.5682,1.1013,1.2742,1.2163,2.266,1.4052,1.0499,1.1119,1.1664,1.3587,1.379,1.2529,1.0997,1.3171,1.2377,1.0258,0.9591,0.4889,0.3762,0.4678,1.2145,1.8237,0.9084,0.3397,0.0836,0.3427,1.5284,0.768,0.6038,0.3739
"16903",6.979,0.5845,1.7524,1.2682,0.9061,1.1243,0.8924,1.8193,1.091,0.9562,0.9196,0.8109,1.074,1.214,0.9564,0.752,1.0556,1.0359,0.8679,0.846,0.4043,0.2746,0.3737,1.0482,1.388,0.7613,0.2754,0.0863,0.3283,1.3558,0.8071,0.5432,0.389
"16904",7.976,0.5758,1.4541,1.1294,1.2012,1.8679,1.0936,1.6402,1.2661,1.7148,1.3069,1.0965,1.2901,1.4519,1.2154,0.9863,1.1499,1.0812,0.9055,1.0186,0.4021,0.2311,0.4432,1.2104,1.4144,0.7822,0.2586,0.0878,0.3414,1.2338,0.8217,0.4825,0.3387
"16905",8.973,0.6012,1.2634,1.0665,1.2668,2.1459,1.1599,1.4614,1.2732,2.0283,1.4321,1.1036,1.399,1.6952,1.395,1.0401,1.3901,1.3432,1.1781,1.3788,0.6433,0.3222,0.6324,1.4034,1.4417,0.8168,0.3342,0.1203,0.3393,1.1162,0.7009,0.4698,0.3937
"16906",9.97,0.6431,1.3308,1.1554,1.4469,2.0292,1.2248,1.5874,1.5196,2.1559,1.5427,1.3063,1.6583,1.7185,1.6787,1.2981,1.84,1.6615,1.4011,1.4807,0.7373,0.3255,0.7366,1.4785,1.5933,0.9361,0.4475,0.1719,0.4418,1.2216,0.8279,0.4928,0.4135
"16907",10.967,0.8047,1.6445,1.6222,2.215,3.4359,1.9639,2.0488,2.2142,3.6406,2.5716,2.3229,2.4518,2.7076,2.6839,2.2313,3.5719,3.1118,2.6045,2.0528,0.858,0.3913,0.8567,2.242,2.3017,1.4057,0.6304,0.2357,0.4438,1.6126,1.0586,0.5627,0.5096
