"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"35841",0.997,362.9037,89.0899,70.5442,201.2198,59.8048,95.1848,46.9912,44.5138,68.1063,111.3288,38.37,53.9203,38.2876,42.1743,498.8803,35.017,33.0695,173.2301,153.8596,624.0671,60.1763,69.4261,41.0034,42.5013,66.7594,922.8555,1000.3862,94.1457,56.2962,538.8521,757.4039,216.688
"35842",1.994,29.5291,18.3892,13.9024,18.2573,9.2509,16.5292,12.5818,11.9147,10.3483,14.9709,10.0224,13.6463,13.3649,12.5381,50.2642,8.1426,6.9386,16.4012,19.6769,85.853,11.1165,11.1066,13.2502,11.6908,12.4376,68.7384,80.8376,19.3668,14.3549,34.489,53.3232,22.3734
"35843",2.991,5.3594,6.7807,5.4152,3.9894,2.6501,4.9693,6.4574,5.9751,3.326,3.9341,4.5415,7.4445,7.9738,6.3972,6.1708,3.5092,2.9984,5.5687,9.2729,13.0114,2.8262,5.7365,8.7012,7.3865,6.8943,5.9364,5.3888,6.428,6.8061,6.6279,5.1983,4.597
"35844",3.988,3.1952,4.1929,3.6821,2.8749,2.0301,3.5604,4.3455,4.1223,2.6406,2.4174,3.3229,4.8957,5.0221,4.2302,3.8744,2.3338,1.9395,3.5782,6.0197,6.425,1.6048,3.4383,5.2539,4.7729,4.2275,3.416,2.109,3.1657,4.2285,3.8518,2.5873,2.7129
"35845",4.985,2.3209,2.7261,2.4606,1.9425,1.4606,2.2704,3.0532,2.9699,1.7503,1.7176,2.2355,3.5812,3.6664,3.0165,2.4991,1.4299,1.1438,2.031,4.1703,3.6752,0.879,2.4367,3.9396,3.5501,3.2547,1.9435,1.1789,2.418,3.0103,2.5134,2.0025,2.0458
"35846",5.982,2.1156,2.6412,2.2443,1.6549,1.0177,2.0592,2.8675,2.6897,1.368,1.2975,1.9832,3.4015,3.3229,2.7733,2.2922,1.2499,0.9851,1.6171,3.348,2.4217,0.5836,1.9465,3.5725,3.4106,2.8465,1.1939,0.6204,2.2774,2.9052,2.448,1.761,2.0863
"35847",6.979,1.9872,2.7909,2.304,1.6036,0.9541,2.0572,3.0476,2.9427,1.3203,1.1598,2.1573,3.7731,3.8191,3.2189,2.5297,1.5302,1.2799,1.8923,3.8711,2.6799,0.5268,2.4226,3.9727,3.6971,3.218,1.3203,0.5476,2.2515,3.2543,2.7296,1.4419,1.8761
"35848",7.976,2.6803,3.0613,2.6833,1.8258,1.0302,2.5383,3.4757,3.8258,1.7611,1.2923,2.8537,4.4978,3.9913,3.9052,3.4128,1.6596,1.2395,1.9755,4.8947,3.5001,0.7737,3.0183,4.7395,4.0109,3.8935,1.4624,0.5633,2.3632,3.4839,2.8774,1.7281,2.5966
"35849",8.973,3.275,3.5705,3.3821,2.5364,1.4465,3.3675,4.488,5.4202,2.2775,1.4772,4.0421,6.6458,6.1461,5.7338,3.4752,2.3747,1.7398,3.4801,7.9235,7.0477,1.3393,4.9776,7.2506,5.7068,5.1589,2.025,0.5952,2.5364,4.0966,3.0441,1.8179,3.0388
"35850",9.97,4.7769,5.8294,5.6128,4.002,2.0739,5.6498,8.0528,9.9118,3.6402,1.6575,7.0119,12.4361,13.6385,10.1192,3.0559,3.3814,2.4819,7.5268,19.4825,16.0845,1.7532,10.9377,14.8517,10.775,10.3951,3.4538,0.9745,4.6034,7.108,5.0283,3.4256,4.0921
