"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"20993",0.997,24.1744,26.7371,15.8899,20.6483,21.016,13.5695,12.2104,13.1392,15.2076,8.6217,11.531,15.936,13.7749,13.9897,27.9952,18.4613,27.8288,18.8504,23.9508,8.3142,7.7848,11.935,22.1017,28.1331,11.6789,6.2249,7.095,10.2947,38.071,16.8286,85.1897,14.2831
"20994",1.994,3.8005,3.0039,3.3814,5.4255,4.4025,3.221,2.38,2.8987,3.3186,2.0962,3.2732,2.3742,2.8886,2.5624,4.2734,3.2601,4.094,2.2286,4.4837,1.4818,0.8899,2.1381,3.9287,2.9453,2.8528,1.2364,1.0457,1.7183,5.4659,2.176,10.0072,1.9999
"20995",2.991,1.2038,0.9547,1.1852,1.7859,1.4338,1.1886,0.9294,1.1084,1.2512,0.627,1.0517,0.8766,0.9573,0.8819,0.9771,0.777,1.1864,0.5475,1.1518,0.4074,0.1975,0.7205,1.1503,1.1247,0.9779,0.3662,0.2854,0.5212,1.9957,0.7798,1.98,0.4397
"20996",3.988,0.6036,0.5268,0.6383,0.9023,0.7625,0.6289,0.5664,0.6553,0.6621,0.4804,0.5755,0.5936,0.5897,0.5458,0.565,0.5443,0.8423,0.3592,0.6717,0.2617,0.0904,0.4802,0.7902,0.7028,0.6316,0.2568,0.1991,0.3312,1.1657,0.4945,0.9418,0.2789
"20997",4.985,0.2901,0.3523,0.3509,0.4299,0.4352,0.3353,0.3105,0.3805,0.4027,0.4655,0.3841,0.3511,0.3431,0.3682,0.4275,0.4027,0.5696,0.2657,0.3662,0.1593,0.0603,0.3045,0.5118,0.4029,0.3818,0.1818,0.1709,0.21,0.6947,0.2992,0.5379,0.1815
"20998",5.982,0.265,0.3188,0.2844,0.3411,0.2995,0.2533,0.257,0.2819,0.2783,0.3085,0.2738,0.2798,0.2822,0.264,0.291,0.284,0.3419,0.1936,0.321,0.1125,0.0466,0.252,0.4096,0.3245,0.3369,0.1363,0.1133,0.1871,0.4957,0.2392,0.3192,0.1386
"20999",6.979,0.2045,0.2476,0.2067,0.2691,0.2383,0.1966,0.1902,0.2161,0.2148,0.181,0.2066,0.2285,0.2143,0.2033,0.1871,0.1685,0.2412,0.1285,0.2488,0.0728,0.0446,0.1899,0.3073,0.2678,0.2686,0.0899,0.0694,0.1468,0.3746,0.2186,0.2249,0.1223
"21000",7.976,0.2377,0.2626,0.2229,0.4146,0.4199,0.265,0.225,0.2522,0.3187,0.278,0.2532,0.2545,0.2584,0.2492,0.2777,0.2245,0.2135,0.1583,0.2992,0.0914,0.0402,0.2139,0.339,0.32,0.3167,0.1198,0.081,0.1706,0.3944,0.2143,0.2231,0.1067
"21001",8.973,0.2577,0.2874,0.2707,0.6814,0.7304,0.415,0.2681,0.3089,0.4447,0.3006,0.3075,0.3068,0.3223,0.2887,0.3032,0.2565,0.261,0.2066,0.3552,0.1022,0.0396,0.2676,0.3669,0.3548,0.3608,0.1435,0.1094,0.1876,0.4169,0.2501,0.2736,0.1262
"21002",9.97,0.4402,0.4706,0.4471,0.7209,0.6944,0.5005,0.4731,0.506,0.5799,0.3217,0.4059,0.4999,0.5166,0.4319,0.4047,0.3269,0.2925,0.2686,0.4928,0.1293,0.0592,0.3772,0.561,0.5952,0.6061,0.1906,0.1434,0.3149,0.7184,0.4155,0.3698,0.2003
"21003",10.967,0.6718,0.7513,0.6326,0.6994,0.6501,0.6128,0.7369,0.7478,0.6813,0.3912,0.4654,0.7528,0.6571,0.529,0.4367,0.3473,0.3537,0.2981,0.6473,0.1363,0.0572,0.4999,0.7363,0.9235,0.8476,0.2332,0.1549,0.4126,1.0737,0.5398,0.3879,0.3217
"21004",11.964,0.4075,0.4675,0.3915,0.477,0.5782,0.4286,0.4756,0.4984,0.7306,0.331,0.401,0.5041,0.4773,0.4277,0.3621,0.3034,0.2822,0.2348,0.4942,0.118,0.0461,0.3648,0.5859,0.6038,0.5921,0.1986,0.1172,0.2892,0.6586,0.364,0.2864,0.2101
"21005",12.961,0.3242,0.3559,0.2943,0.3548,0.4738,0.3372,0.3599,0.3769,0.7204,0.3151,0.3858,0.3855,0.4145,0.3462,0.3301,0.2596,0.2474,0.2057,0.4166,0.0897,0.049,0.3222,0.5314,0.4676,0.5129,0.179,0.0934,0.2712,0.4892,0.3229,0.2351,0.1782
"21006",13.958,0.2834,0.3074,0.2419,0.3107,0.409,0.3034,0.3371,0.3717,0.6993,0.3073,0.4243,0.3794,0.3881,0.3619,0.3896,0.2459,0.2202,0.1938,0.4056,0.0901,0.0578,0.3211,0.4879,0.4153,0.4602,0.166,0.0805,0.2233,0.4225,0.2669,0.2265,0.166
"21007",14.955,0.294,0.303,0.2428,0.3118,0.4303,0.3076,0.3078,0.3534,0.7325,0.3297,0.4438,0.3563,0.3729,0.3532,0.3944,0.2445,0.196,0.1773,0.3861,0.0844,0.0572,0.2973,0.478,0.3882,0.4639,0.1903,0.0928,0.24,0.4221,0.2773,0.2254,0.1858
"21008",15.952,0.2879,0.2743,0.2394,0.3397,0.3889,0.3233,0.3045,0.3882,0.6673,0.2771,0.4757,0.3575,0.3613,0.3802,0.3974,0.2447,0.1989,0.1676,0.3883,0.0938,0.0595,0.2911,0.4576,0.3689,0.4286,0.1985,0.0798,0.215,0.3946,0.2598,0.2231,0.1879
"21009",16.949,0.2638,0.2817,0.2606,0.3195,0.3021,0.3067,0.3203,0.3932,0.6707,0.2276,0.3383,0.3506,0.3486,0.2957,0.3076,0.2136,0.1626,0.1407,0.3688,0.0796,0.049,0.2493,0.4515,0.3769,0.4049,0.1964,0.0785,0.1888,0.3762,0.2473,0.2085,0.1975
"21010",17.946,0.2165,0.2705,0.2439,0.2797,0.2213,0.2698,0.3134,0.4049,0.6039,0.1984,0.3109,0.3488,0.335,0.2955,0.2385,0.1836,0.1681,0.1398,0.3534,0.0741,0.0378,0.2423,0.4584,0.3707,0.4002,0.1749,0.0708,0.1811,0.3544,0.2295,0.1628,0.1569
"21011",18.943,0.1679,0.1963,0.1863,0.2539,0.1928,0.2245,0.2263,0.2988,0.5821,0.1621,0.2343,0.2719,0.2471,0.2384,0.1766,0.1496,0.1279,0.1081,0.2453,0.0587,0.0315,0.1756,0.3267,0.2814,0.2948,0.174,0.0614,0.1445,0.2596,0.1686,0.1539,0.1341
"21012",19.94,0.1417,0.1788,0.1545,0.2666,0.1922,0.2022,0.1951,0.2477,0.5485,0.1578,0.2049,0.2641,0.2427,0.2029,0.1508,0.1235,0.1086,0.0985,0.2404,0.0646,0.0322,0.1885,0.3186,0.2839,0.2785,0.1947,0.0581,0.1263,0.2466,0.1498,0.135,0.1218
"21013",20.937,0.1462,0.1701,0.1498,0.2378,0.1945,0.1936,0.1899,0.2292,0.4971,0.1449,0.1744,0.2241,0.2034,0.1713,0.1391,0.1161,0.094,0.0895,0.2053,0.0618,0.0287,0.1667,0.2878,0.2713,0.2484,0.1804,0.0551,0.1183,0.2251,0.133,0.1179,0.1082
"21014",21.934,0.0955,0.1309,0.1088,0.2097,0.183,0.17,0.1332,0.1713,0.5066,0.152,0.1617,0.1719,0.1556,0.1571,0.1334,0.1153,0.0968,0.0827,0.1476,0.0535,0.0303,0.1287,0.2255,0.1881,0.1854,0.1806,0.0516,0.1045,0.1741,0.1144,0.1057,0.0773
"21015",22.931,0.0938,0.1071,0.1065,0.1752,0.1469,0.1493,0.1025,0.1443,0.4126,0.1291,0.1325,0.1166,0.0976,0.1178,0.1134,0.0916,0.0734,0.0679,0.1037,0.0395,0.0244,0.0809,0.1402,0.1303,0.1194,0.1625,0.0393,0.078,0.1301,0.0857,0.1034,0.0582
"21016",23.928,0.0865,0.1036,0.0992,0.1522,0.1203,0.1271,0.0993,0.1199,0.3191,0.1001,0.1064,0.105,0.0845,0.092,0.088,0.0762,0.0692,0.0571,0.0872,0.0357,0.0197,0.0701,0.1314,0.1099,0.1084,0.1366,0.0423,0.0726,0.1178,0.0835,0.1049,0.0575
"21017",24.925,0.0768,0.0905,0.093,0.122,0.099,0.1146,0.0943,0.1294,0.3116,0.0888,0.1099,0.1017,0.0812,0.0917,0.1004,0.0767,0.0652,0.0527,0.0814,0.0323,0.0203,0.067,0.1213,0.1019,0.0971,0.1355,0.0377,0.072,0.1122,0.0756,0.0936,0.0519
"21018",25.922,0.0829,0.0763,0.0777,0.1218,0.0963,0.1084,0.0769,0.1065,0.3198,0.0886,0.093,0.0829,0.0636,0.0728,0.0831,0.0621,0.0542,0.044,0.0653,0.0268,0.0168,0.0561,0.1011,0.085,0.0815,0.1351,0.0312,0.0638,0.088,0.0604,0.0836,0.044
"21019",26.919,0.0665,0.0723,0.0715,0.0914,0.0773,0.0851,0.0708,0.0851,0.2629,0.076,0.073,0.074,0.0528,0.0587,0.0758,0.0555,0.0522,0.0442,0.058,0.0249,0.0186,0.0458,0.0858,0.0801,0.074,0.1003,0.0339,0.0528,0.083,0.0611,0.0745,0.0413
"21020",27.916,0.0611,0.0718,0.0644,0.084,0.0738,0.0814,0.0672,0.0809,0.2544,0.0688,0.0762,0.0718,0.0503,0.0639,0.0663,0.0577,0.047,0.0408,0.0542,0.0215,0.0153,0.0423,0.0757,0.0717,0.0652,0.105,0.0305,0.0456,0.0822,0.053,0.0732,0.046
"21021",28.913,0.0594,0.0584,0.0552,0.0807,0.0685,0.0705,0.0573,0.0689,0.3035,0.051,0.0614,0.0619,0.0463,0.053,0.0563,0.0493,0.0466,0.0363,0.0505,0.0215,0.0174,0.0365,0.0677,0.0661,0.0579,0.0919,0.0245,0.0426,0.0684,0.0501,0.0758,0.0376
"21022",29.91,0.0523,0.0668,0.0549,0.064,0.0557,0.061,0.0557,0.0659,0.3044,0.0479,0.0585,0.0676,0.0431,0.0519,0.0555,0.0463,0.0417,0.0362,0.042,0.0198,0.0149,0.0359,0.0716,0.0706,0.0586,0.0912,0.0248,0.0428,0.0705,0.0523,0.0673,0.0402
"21023",30.907,0.0573,0.056,0.0524,0.0707,0.0547,0.0693,0.0536,0.0633,0.2933,0.0479,0.0538,0.0574,0.042,0.0463,0.0429,0.039,0.0357,0.0293,0.043,0.0197,0.0134,0.035,0.0702,0.0638,0.0531,0.0812,0.0266,0.0352,0.0616,0.0463,0.0745,0.0354
"21024",31.904,0.048,0.0504,0.0458,0.0773,0.0567,0.0569,0.0458,0.0536,0.2931,0.0448,0.049,0.0564,0.0374,0.0444,0.05,0.0394,0.0364,0.029,0.0386,0.0183,0.0153,0.0336,0.0616,0.057,0.0499,0.0743,0.0233,0.0391,0.0571,0.0441,0.0722,0.033
"21025",32.901,0.0421,0.0457,0.0439,0.0713,0.0472,0.0547,0.0414,0.0507,0.3206,0.0387,0.0477,0.0501,0.0371,0.0433,0.0452,0.0388,0.033,0.0301,0.0393,0.0182,0.0125,0.0305,0.0523,0.0505,0.0419,0.0856,0.0197,0.0339,0.0505,0.0363,0.0665,0.031
"21026",33.898,0.0504,0.0455,0.0469,0.0763,0.0537,0.0593,0.0427,0.053,0.2963,0.0456,0.055,0.052,0.0376,0.0471,0.0446,0.0401,0.0352,0.0299,0.0401,0.0179,0.0138,0.0287,0.0492,0.0476,0.0397,0.0855,0.0195,0.0326,0.0551,0.0378,0.0591,0.029
"21027",34.895,0.042,0.04,0.039,0.0655,0.0558,0.0511,0.0373,0.0455,0.3989,0.0434,0.0471,0.0456,0.0311,0.0388,0.0407,0.037,0.0309,0.0263,0.032,0.015,0.0123,0.0255,0.0465,0.0414,0.036,0.0828,0.0233,0.0347,0.0442,0.0386,0.0638,0.0285
"21028",35.892,0.039,0.0349,0.0432,0.0682,0.0588,0.0568,0.0373,0.0475,0.3815,0.0419,0.0518,0.0436,0.0345,0.0427,0.0491,0.0424,0.0326,0.029,0.0371,0.0178,0.0147,0.0248,0.0438,0.0422,0.0325,0.0946,0.024,0.0318,0.0433,0.032,0.0572,0.0243
