"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"10753",0.997,37.6268,33.053,NA,216.2089,289.1362,40.4475,35.3108,28.6702,37.8085,282.8098,27.1859,31.2879,48.0732,22.5664,31.3184,22.2942,15.5692,15.6319,40.4869,23.0516,7.211,13.8804,31.1773,33.7055,15.5562,12.0339,NA,8.2722,39.5779,NA,619.0568,97.2334
"10754",1.994,7.0684,8.1863,NA,72.4821,51.1826,10.3676,8.8455,8.119,7.995,27.2399,6.8032,7.8273,8.6392,7.4063,6.6,6.4976,5.4714,5.467,8.2155,4.6184,1.4189,3.4917,6.7061,8.714,4.9658,1.9239,NA,3.2382,8.0521,NA,190.9347,15.9902
"10755",2.991,3.1216,4.2065,NA,20.6908,10.0805,4.1915,4.4535,4.129,3.2956,7.8715,3.2832,4.0997,4.0237,3.4727,2.9356,3.5246,3.169,3.1523,3.3136,1.9531,0.6161,2.1845,3.6041,4.5487,3.0434,1.0708,NA,2.0603,3.6605,NA,42.1102,3.9518
"10756",3.988,1.7066,2.191,NA,7.3731,4.8892,2.2816,2.386,2.2679,2.1485,3.6492,1.9706,2.1582,2.0716,1.8279,1.883,2.2117,1.9049,1.9054,1.7111,1.1251,0.4212,1.1528,1.9348,2.3139,1.5448,0.6063,NA,1.0877,2.0104,NA,9.4328,1.7806
"10757",4.985,0.8893,0.9897,NA,3.6121,3.1459,1.3388,1.0523,1.1275,1.3908,2.2888,1.1287,1.0199,1.0433,0.9833,1.1641,1.2547,1.0532,1.0646,0.8056,0.5708,0.2283,0.5068,0.8874,1.0179,0.6383,0.2682,NA,0.4444,0.8796,NA,3.3542,0.9547
"10758",5.982,0.498,0.6396,NA,1.6998,1.7359,0.8206,0.7297,0.8147,0.8362,1.3788,0.7971,0.8146,0.8903,0.8375,0.8265,0.965,0.7401,0.7447,0.6249,0.3918,0.1798,0.3831,0.6652,0.7264,0.4949,0.1866,NA,0.3266,0.6161,NA,1.6145,0.6278
"10759",6.979,0.4207,0.579,NA,1.0996,1.3176,0.6526,0.6492,0.6703,0.7034,1.1109,0.6657,0.6978,0.7432,0.7124,0.7642,0.9772,0.7831,0.7832,0.618,0.4,0.166,0.3641,0.6197,0.6627,0.4616,0.2014,NA,0.3248,0.5919,NA,1.2073,0.5664
"10760",7.976,0.5194,0.7152,NA,1.0874,1.5707,0.6814,0.7407,0.7018,0.7937,1.3286,0.7042,0.7174,0.8031,0.7368,0.8759,1.0039,0.7615,0.7526,0.5961,0.3698,0.1607,0.3845,0.6671,0.7407,0.5376,0.2033,NA,0.4004,0.689,NA,0.8289,0.6646
"10761",8.973,0.7281,1.0845,NA,1.358,1.8769,1.0353,1.1417,1.0912,1.0075,1.2937,1.0022,1.1475,1.2333,1.0933,1.073,1.4736,1.1051,1.1068,0.9638,0.5538,0.2385,0.6095,1.0549,1.1871,0.8318,0.2626,NA,0.543,1.0205,NA,0.8354,0.6791
"10762",9.97,0.8165,1.0572,NA,1.5786,2.151,1.2107,1.1589,1.1605,1.2407,1.6024,1.0912,1.1259,1.1148,1.0699,1.2164,1.4306,1.1817,1.1785,0.8948,0.6209,0.29,0.6,0.9971,1.1368,0.7825,0.2496,NA,0.5317,0.962,NA,0.6883,0.7596
