"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"22529",0.997,8.1252,12.5202,19.562,21.7669,20.2884,21.0961,16.8302,21.6301,25.1141,9.4069,79.5659,24.8104,18.1356,14.5887,15.1303,30.6717,6.1132,7.0015,8.2825,13.144,76.0314,89.5694,26.1096,25.4175,15.8989,28.7884,5.5702,24.8426,16.6569,12.7482,57.1386,14.8059
"22530",1.994,3.5201,4.9484,7.8283,5.0931,7.0138,5.5147,5.2213,4.9588,5.3537,1.9143,9.4652,4.8074,4.1163,2.9819,2.651,4.3863,1.462,1.5357,2.6656,2.0557,7.9064,4.8652,5.4796,6.2778,4.399,3.0791,1.6602,4.1584,5.2692,4.9644,5.8927,3.7488
"22531",2.991,1.0162,1.711,2.0279,1.7304,2.3862,2.0519,1.9388,1.9008,1.9677,0.7353,2.7939,1.9582,1.6958,1.2154,1.0018,0.9366,0.5302,0.5695,1.1205,0.6167,2.4634,1.1989,1.9919,2.2274,1.7503,0.7298,0.3916,1.2126,1.9361,1.5224,1.4147,1.1106
"22532",3.988,0.606,0.9365,1.0863,1.1817,1.7415,1.2037,1.0666,1.0114,1.2836,0.5309,1.2772,1.0182,0.8421,0.6658,0.5215,0.4024,0.2827,0.3153,0.5652,0.3204,1.2765,0.5716,0.9066,1.1869,0.7944,0.4252,0.1977,0.6822,1.0819,0.847,0.8807,0.5886
"22533",4.985,0.4229,0.7588,0.715,0.6212,0.9762,0.7359,0.8769,0.6656,0.7712,0.3051,0.8821,0.7646,0.5894,0.4901,0.3315,0.2434,0.1859,0.2023,0.3823,0.168,0.8784,0.3514,0.6703,0.8811,0.5246,0.2706,0.1052,0.4189,0.8107,0.5838,0.5404,0.4738
"22534",5.982,0.2686,0.4703,0.3905,0.368,0.4418,0.4797,0.5214,0.4393,0.4659,0.1651,0.3659,0.5053,0.4072,0.3429,0.2458,0.137,0.1211,0.1514,0.2669,0.1136,0.6037,0.2401,0.4573,0.5489,0.3617,0.1702,0.0652,0.2834,0.5127,0.3918,0.4033,0.317
"22535",6.979,0.2587,0.4582,0.4438,0.3591,0.3885,0.4928,0.4541,0.386,0.4656,0.1622,0.3429,0.3812,0.3207,0.3312,0.2236,0.1401,0.1254,0.1256,0.2351,0.0986,0.5749,0.21,0.4004,0.4814,0.2817,0.1401,0.0596,0.2227,0.4795,0.3794,0.3425,0.3019
"22536",7.976,0.299,0.4703,0.444,0.4785,0.5558,0.5608,0.4802,0.4375,0.4941,0.1837,0.3884,0.4375,0.3803,0.3398,0.2115,0.1219,0.1147,0.112,0.2266,0.0962,0.4216,0.1903,0.4162,0.4872,0.3109,0.1575,0.0785,0.2485,0.4938,0.4468,0.3534,0.3325
"22537",8.973,0.4151,0.6412,0.671,0.7883,1.0428,0.8905,0.7133,0.7147,0.8603,0.2786,0.5778,0.7222,0.6193,0.4903,0.3114,0.1702,0.1568,0.148,0.3697,0.1449,0.414,0.2708,0.6421,0.7529,0.4621,0.204,0.1107,0.3109,0.706,0.5834,0.3816,0.4452
"22538",9.97,0.2907,0.479,0.4876,0.6304,0.8629,0.835,0.5645,0.6515,0.9244,0.2873,0.5601,0.672,0.4889,0.5686,0.3563,0.1873,0.1527,0.1841,0.4226,0.177,0.3066,0.2747,0.5677,0.5635,0.38,0.1912,0.0822,0.2918,0.5034,0.42,0.3254,0.3088
