"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"15873",0.997,399.7501,66.0599,185.2759,552.6188,227.8805,174.6266,71.0654,86.4252,148.7947,59.8654,60.776,59.9597,49.521,44.9334,49.9261,38.7323,37.2999,29.0623,32.0459,15.6813,6.6655,26.0504,37.7038,77.2469,34.5726,22.7533,65.6224,70.123,41.3928,78.3215,341.5614,254.2488
"15874",1.994,54.8701,16.0275,34.6572,97.8772,44.3826,32.2188,16.3925,17.0006,27.6988,12.2221,12.9523,12.1788,11.2561,10.5794,9.3267,9.8173,9.535,10.0186,6.8897,4.6594,2.0958,4.3982,8.0068,13.6435,5.9617,3.0185,11.9506,10.9816,12.618,12.5759,58.9703,38.6807
"15875",2.991,11.1193,5.0367,6.7836,13.4403,5.6126,5.3282,5.142,4.0667,4.0496,2.1605,2.9961,3.9175,3.8089,3.3756,3.0189,4.2393,4.2013,4.637,2.5466,1.8834,0.6227,1.5975,3.2059,4.6679,2.4456,0.8442,1.5558,2.4584,4.9766,3.6942,7.5198,8.1905
"15876",3.988,5.4188,2.7981,3.5254,7.2087,3.261,3.0641,3.0428,2.5698,2.3936,1.31,1.8448,2.6728,2.5478,2.0553,1.6772,2.3069,2.4205,2.3807,1.6181,0.8617,0.3201,0.967,2.1596,2.9872,1.531,0.4648,0.7521,1.3911,2.7417,2.0906,3.9359,4.4263
"15877",4.985,3.3739,1.7574,2.0247,3.3435,1.5292,1.588,1.7351,1.4106,1.214,0.724,1.0541,1.7011,1.6156,1.3032,0.9922,1.3429,1.3371,1.2588,1.0321,0.5166,0.1814,0.649,1.3385,1.8312,0.9648,0.3275,0.4689,0.8815,1.5849,1.396,2.1992,3.0264
"15878",5.982,2.2191,1.038,1.2211,2.085,1.0044,0.9842,1.0814,0.9163,0.8627,0.5859,0.7576,1.0573,0.9547,0.8443,0.8314,1.0308,1.0509,0.942,0.6159,0.3961,0.1664,0.3966,0.8235,1.0729,0.5909,0.19,0.2441,0.5512,1.0503,0.8698,1.3549,1.9996
"15879",6.979,1.811,0.8845,1.1793,1.5687,0.6844,0.8363,0.9306,0.778,0.628,0.5525,0.6785,0.8266,0.8174,0.7548,0.8227,1.0989,1.1454,0.9808,0.5129,0.4046,0.144,0.3563,0.6557,0.8855,0.5163,0.1761,0.1815,0.4789,0.8345,0.7795,0.9212,1.7436
"15880",7.976,1.5844,0.8144,1.0323,1.1911,0.4956,0.6136,0.8344,0.5973,0.4969,0.4773,0.5006,0.7169,0.7672,0.6607,0.6889,1.1963,1.2284,1.025,0.5113,0.3801,0.1242,0.3165,0.5976,0.7802,0.4576,0.1942,0.1416,0.4354,0.7623,0.7345,0.6729,1.5831
"15881",8.973,1.523,0.8016,0.9973,1.128,0.4692,0.6183,0.7629,0.5902,0.4477,0.3452,0.4897,0.7335,0.7928,0.6871,0.5632,1.1458,1.1141,0.84,0.5278,0.3048,0.0957,0.3206,0.6073,0.7343,0.4364,0.2041,0.0896,0.359,0.7643,0.6931,0.4361,1.466
"15882",9.97,1.4709,0.8258,1.0787,1.0133,0.4991,0.6419,0.8418,0.6437,0.4942,0.4337,0.5251,0.782,0.7544,0.6895,0.5508,0.908,0.8517,0.6984,0.4803,0.2662,0.1035,0.2998,0.6314,0.8073,0.4534,0.2244,0.0814,0.4091,0.7756,0.767,0.4377,1.4922
"15883",10.967,1.5937,0.8632,1.1624,1.1167,0.5826,0.7138,0.8837,0.6932,0.5448,0.579,0.5744,0.8409,0.8281,0.7369,0.6918,0.9299,0.8801,0.7845,0.576,0.3431,0.1263,0.3685,0.7152,0.8573,0.5549,0.336,0.1269,0.5487,0.8499,0.9147,0.5648,1.5722
"15884",11.964,1.8199,0.8615,1.1213,1.2138,0.6629,0.7549,0.8105,0.659,0.6608,0.7041,0.6414,0.7454,0.7836,0.7906,0.9269,0.9873,0.8329,0.8339,0.5575,0.4262,0.1743,0.4,0.6425,0.7857,0.5205,0.441,0.1462,0.5504,0.7818,0.8879,0.5304,1.6081
"15885",12.961,1.7944,0.7669,1.1051,1.0622,0.6895,0.7231,0.7558,0.6789,0.7707,0.737,0.6982,0.7944,0.8686,0.8517,0.9293,0.9927,0.8158,0.8116,0.5885,0.4111,0.1779,0.4124,0.6692,0.7663,0.4914,0.5158,0.1579,0.5047,0.7115,1.0309,0.5715,1.6553
"15886",13.958,2.1504,0.8147,1.3255,1.0214,0.675,0.803,0.7554,0.6656,0.8049,0.6959,0.6697,0.7283,0.7138,0.742,0.8091,0.8637,0.7266,0.6892,0.5299,0.3972,0.1605,0.4229,0.6054,0.7027,0.5062,0.6833,0.1402,0.5406,0.7225,1.1954,0.5506,1.7923
"15887",14.955,2.47,0.778,1.4133,0.8137,0.5148,0.7769,0.7187,0.6496,0.7564,0.6302,0.6815,0.7207,0.7048,0.7302,0.7975,0.7152,0.5853,0.6484,0.5817,0.4051,0.162,0.4729,0.6372,0.705,0.5467,0.7159,0.1341,0.5772,0.7294,1.3515,0.4942,1.884
"15888",15.952,2.4702,0.7284,1.5145,0.7496,0.447,0.757,0.6971,0.6512,0.753,0.6474,0.6498,0.7299,0.7454,0.7191,0.7863,0.7046,0.6275,0.6719,0.6112,0.4071,0.1476,0.4732,0.6741,0.7013,0.532,0.9192,0.1026,0.5455,0.6857,1.3519,0.4232,1.7964
"15889",16.949,2.6242,0.7567,1.5309,0.7211,0.366,0.7627,0.6916,0.5808,0.7238,0.5304,0.5911,0.6302,0.6831,0.6548,0.7156,0.6525,0.596,0.6698,0.5952,0.4239,0.1468,0.5751,0.6342,0.6609,0.5412,0.952,0.1035,0.666,0.6722,1.4074,0.4328,1.8628
"15890",17.946,3.0648,0.803,1.6686,0.7164,0.3398,0.7558,0.7118,0.6153,0.6899,0.5343,0.689,0.6797,0.679,0.7794,0.7844,0.7077,0.6457,0.7169,0.5965,0.4079,0.1523,0.5359,0.6122,0.6499,0.5313,1.375,0.1054,0.7703,0.7259,1.7985,0.4773,1.8608
"15891",18.943,2.9974,0.7466,1.5995,0.7477,0.3191,0.7537,0.6664,0.6151,0.7989,0.5189,0.7224,0.7222,0.7591,0.8231,0.7615,0.6537,0.568,0.6198,0.6314,0.4051,0.1583,0.461,0.6187,0.6028,0.4797,1.8279,0.1003,0.6291,0.6273,1.8177,0.4366,1.7729
