"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"1025",0.997,209.6852,91.9,147.8767,910.4285,61.442,50.5451,47.6383,60.6827,1547.2209,418.1871,52.8071,160.5339,232.9417,171.7941,1900.9545,205.0134,1209.7159,71.9454,34.3159,283.9126,318.1356,2796.3225,162.9544,85.3916,36.0018,152.7695,339.5551,73.147,43.7191,53.9258,75.4939,61.0323
"1026",1.994,15.1606,11.0448,11.5795,45.3764,6.7027,5.7089,8.8889,7.993,54.3168,18.5415,5.638,12.635,21.5455,12.3972,71.2683,15.7882,51.0845,8.8416,6.0098,14.5426,16.7202,137.0988,13.5198,12.1566,5.5997,10.447,18.9744,7.8432,8.9994,8.2369,7.1627,5.9768
"1027",2.991,3.0296,4.6405,4.0247,7.2427,2.4136,2.551,4.1489,3.4472,6.302,3.2255,2.6051,4.9199,4.7235,3.8933,7.4952,4.7759,4.6369,3.0299,2.6896,3.4173,2.1697,10.618,4.3113,5.5506,2.7209,2.0606,1.6857,2.8421,4.3262,3.607,2.2639,2.2265
"1028",3.988,1.9163,3.3498,2.9329,4.4624,1.9304,2.0218,3.3814,2.8732,3.5545,2.0245,2.1169,3.5143,3.8071,3.4405,4.0799,2.6612,3.1232,2.0483,2.2017,1.8389,0.9776,5.4893,3.1998,4.1948,1.9761,1.1584,0.8751,1.5568,3.3168,2.3305,1.168,1.3511
"1029",4.985,1.5568,2.9237,2.1859,3.0735,1.661,1.6189,2.7759,2.3871,2.7194,1.6492,1.8113,3.0438,3.0086,2.5576,3.3929,2.1242,2.3358,1.7714,1.7215,1.4811,0.5826,4.003,2.6801,3.8506,1.6415,0.6751,0.5317,1.2114,2.9087,1.9929,0.8732,1.1038
"1030",5.982,1.3899,2.5899,1.9055,2.4939,1.0464,1.1389,2.1518,1.4479,1.5673,1.0543,0.9997,1.7357,1.5139,1.4668,1.8384,1.2895,1.4905,1.0514,0.9867,0.9709,0.4605,2.7578,1.5241,2.5456,1.1592,0.4968,0.3148,1.0911,2.3619,1.8071,0.7297,1.007
"1031",6.979,1.0263,1.5471,1.3189,1.8403,0.8339,0.8455,1.3411,1.0888,1.3475,0.8647,0.7912,1.3237,1.2295,1.2351,1.3315,1.1949,1.2673,0.8455,0.7671,0.8647,0.3408,2.1143,1.1353,1.6748,0.8147,0.4112,0.2795,0.8495,1.5233,1.2275,0.6605,0.7597
"1032",7.976,0.8262,1.311,1.0792,1.669,0.8241,0.7765,1.2161,0.9832,1.2876,0.9453,0.775,1.2815,1.1409,1.2034,1.3531,1.0234,1.163,0.7946,0.8475,0.7297,0.2633,1.9682,1.0678,1.5676,0.7963,0.3586,0.2182,0.6341,1.3106,0.9901,0.4725,0.6048
"1033",8.973,0.7007,0.9529,0.9122,1.701,0.9064,0.7691,0.9997,0.9038,1.2347,0.9599,0.7462,1.1139,0.982,1.0321,1.3142,0.8668,1.0604,0.7522,0.6168,0.639,0.243,1.4747,0.9166,1.2652,0.6242,0.3069,0.2028,0.542,1.0266,0.7575,0.3988,0.4585
"1034",9.97,0.8246,1.0971,1.0667,2.2584,1.3532,0.9825,1.0675,0.959,1.7023,1.0127,0.9114,1.137,0.9387,1.1496,1.4034,0.9411,0.9311,0.7621,0.5844,0.5503,0.246,1.4572,0.8019,1.1403,0.6065,0.3059,0.2727,0.5619,1.0656,0.8601,0.4645,0.5448
