"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"20481",0.997,121.0071,58.0376,53.4957,26.9256,41.5904,71.9522,41.1644,34.405,24.5857,84.2903,27.6961,35.6292,51.5475,38.6429,40.2072,37.7761,44.731,34.7453,32.0097,25.7429,334.1777,23.0514,39.6293,54.0877,30.7274,13.4335,67.6342,24.2172,40.2208,45.1366,153.3586,129.2696
"20482",1.994,13.6672,12.4836,9.5758,3.6784,9.2826,7.1599,9.2617,7.3616,3.4194,8.5221,5.0258,8.2097,9.1923,7.1907,5.0586,5.7292,6.2022,5.6498,6.7927,3.9893,29.9554,4.365,10.5417,9.7084,6.1249,1.8657,4.3039,4.2919,9.4267,8.4461,14.5938,14.9251
"20483",2.991,4.9166,4.8728,4.1147,1.3879,2.4904,2.1458,4.152,2.9663,1.3608,2.4392,2.1586,3.4095,3.5615,2.9846,2.0623,2.2755,2.3055,2.1419,2.6435,1.4467,7.6801,1.7723,3.8307,4.1618,2.6137,0.7623,0.7669,1.8969,4.2457,3.8012,3.861,5.9528
"20484",3.988,2.4134,2.3486,1.9594,0.5681,1.0119,1.0295,2.0887,1.6119,0.7042,1.1796,1.2143,1.8707,1.8323,1.6156,1.0482,1.1603,1.1988,1.1584,1.4265,0.8553,4.3213,1.0515,1.8113,2.3172,1.5085,0.4364,0.3193,0.9597,2.1508,1.9548,1.8591,3.1815
"20485",4.985,1.845,1.959,1.5136,0.4398,0.5203,0.7104,1.4921,1.0737,0.4544,0.7869,0.8176,1.2106,1.1468,1.0751,0.7179,0.8066,0.792,0.6984,0.8027,0.4542,2.763,0.5863,1.1121,1.4733,0.972,0.2535,0.1855,0.7331,1.5653,1.5392,1.3078,2.2846
"20486",5.982,1.7764,1.9512,1.5443,0.3946,0.3591,0.658,1.4633,0.9876,0.3804,0.7005,0.6958,1.1545,1.133,0.9846,0.6475,0.7773,0.8132,0.7419,0.8514,0.4891,1.9122,0.6059,1.1106,1.5366,0.955,0.2477,0.1524,0.7339,1.5584,1.5842,1.0029,1.9858
"20487",6.979,1.7233,1.8823,1.4087,0.3779,0.3702,0.6038,1.3652,0.9211,0.4426,0.7819,0.7216,1.0656,1.0864,0.9665,0.8099,0.8847,0.8664,0.8075,0.8443,0.5405,1.7651,0.5726,1.0351,1.3764,0.9149,0.2346,0.1502,0.6863,1.4972,1.553,0.934,1.9225
"20488",7.976,2.1681,2.3056,1.9222,0.4646,0.5821,0.8659,1.9595,1.4078,0.6608,1.3242,1.0492,1.6389,1.6893,1.3864,1.3309,1.393,1.3159,1.2313,1.3622,0.8476,1.5134,0.8439,1.5217,1.8501,1.2157,0.2787,0.1997,0.8036,1.8958,1.8141,1.1857,2.4612
"20489",8.973,3.5993,3.5274,2.9564,0.8054,1.0765,1.4147,2.9882,2.1769,1.3597,2.141,1.7454,2.5047,2.4834,1.9837,1.7079,1.4974,1.4399,1.3814,2.0137,1.0439,1.2532,1.4105,2.4713,2.9478,2.135,0.5497,0.338,1.5869,3.0892,3.1308,2.1047,4.0282
"20490",9.97,2.8222,2.6305,2.2275,0.774,0.9112,1.2366,2.2162,1.752,1.3891,2.1614,1.6076,1.887,1.8201,1.6022,1.7248,1.2912,1.141,1.1239,1.6771,1.1653,1.5322,1.2962,1.9673,2.1997,1.8639,0.5263,0.3347,1.4622,2.3352,2.5628,1.7123,3.0628
