"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"21505",0.997,25.3292,24.8576,24.2023,17.479,17.2682,9.1285,15.5212,8.3357,9.5181,10.9628,8.8563,22.0075,9.8857,9.7373,22.5974,18.6308,21.8143,20.0993,18.3811,9.6321,53.5325,19.6081,85.4153,38.8078,8.1795,7.1774,15.403,14.9197,24.1883,24.7251,41.0807,51.478
"21506",1.994,2.8426,3.9059,6.0016,4.768,4.8379,4.1751,3.8223,4.1439,4.6968,3.5877,4.6577,4.0661,3.729,3.5346,4.7861,4.7194,4.1593,3.4841,4.2013,2.289,4.0385,2.34,6.2951,4.436,3.1334,1.8657,2.4426,2.6258,4.2582,3.758,5.8829,5.8349
"21507",2.991,0.8696,1.6062,1.9494,1.7982,1.9991,1.8285,1.8382,1.8824,2.053,1.383,1.9452,1.7804,1.5083,1.705,1.8722,1.3682,1.2781,1.0425,1.4002,0.702,0.6529,0.9526,2.0065,1.8454,1.2433,0.5465,0.574,0.8343,1.7055,1.5211,1.5726,1.4055
"21508",3.988,0.5974,1.2458,1.2287,0.9933,1.0635,1.0739,1.3495,1.2574,1.189,1.0417,1.1765,1.2439,0.9859,1.1267,1.1769,0.9909,0.9374,0.7318,0.9556,0.4965,0.4265,0.6831,1.4117,1.3894,0.9278,0.3752,0.3202,0.6814,1.3,1.0999,0.8953,0.9563
"21509",4.985,0.4074,0.8865,0.93,0.7385,0.7745,0.8034,0.9706,0.9524,0.8503,1.0372,0.9092,0.9329,0.7331,0.8965,0.9877,0.7944,0.6977,0.5425,0.6396,0.3112,0.255,0.4721,0.8647,0.9499,0.6438,0.2667,0.243,0.4591,0.9077,0.7699,0.5849,0.5988
"21510",5.982,0.2524,0.5957,0.5103,0.444,0.4681,0.4413,0.567,0.5398,0.47,0.5545,0.5165,0.5372,0.4435,0.5187,0.5415,0.4426,0.3947,0.3333,0.4085,0.1983,0.1694,0.2922,0.5943,0.612,0.4055,0.1701,0.1587,0.3185,0.5765,0.5173,0.4392,0.4276
"21511",6.979,0.2246,0.4804,0.4625,0.4549,0.463,0.4278,0.4792,0.4367,0.4579,0.4178,0.4316,0.4146,0.3497,0.3831,0.4167,0.3421,0.2771,0.2494,0.3402,0.1728,0.1378,0.2273,0.4707,0.4812,0.3358,0.1243,0.1217,0.2662,0.471,0.4579,0.3408,0.3771
"21512",7.976,0.3138,0.5094,0.5448,0.6554,0.7822,0.6434,0.5985,0.6654,0.745,0.7349,0.6933,0.5842,0.4912,0.6127,0.7458,0.5206,0.4159,0.3397,0.3887,0.2247,0.1349,0.2447,0.5233,0.5961,0.3615,0.1404,0.1296,0.2252,0.4828,0.41,0.3126,0.3491
"21513",8.973,0.4737,0.762,0.8395,1.3527,1.5057,1.0449,0.9108,0.9401,1.1567,0.8957,0.9123,0.8764,0.7342,0.8563,0.9234,0.7038,0.5705,0.4539,0.5696,0.2681,0.166,0.3599,0.7469,0.9267,0.5768,0.2045,0.2008,0.3564,0.7838,0.5979,0.3702,0.3873
"21514",9.97,0.5995,1.0854,1.0849,1.2685,1.4545,1.2133,1.2519,1.2649,1.378,1.0361,1.2717,1.2319,1.0741,1.203,1.2103,0.8815,0.77,0.6547,0.7945,0.4056,0.2626,0.4949,1.1028,1.3042,0.8656,0.3054,0.2949,0.5227,1.1563,0.8482,0.4671,0.5484
"21515",10.967,0.6296,1.1361,1.1498,1.2881,1.5084,1.2799,1.2901,1.2716,1.5542,1.1446,1.2483,1.105,0.9053,1.1027,1.2414,0.8075,0.6555,0.536,0.6523,0.3934,0.2781,0.4918,0.9904,1.2673,0.8347,0.4185,0.3087,0.5507,1.1694,0.8561,0.4564,0.5287
