"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"40961",0.997,85.2302,49.5056,50.0291,196.4419,91.0458,73.4649,43.1775,69.4416,52.2805,26.6619,120.7494,39.4401,28.7841,33.2502,25.3267,31.3807,46.9256,19.4404,66.9254,10.4819,24.8266,21.7294,27.0168,33.1221,16.7034,15.2671,41.5336,44.4228,27.2604,47.9677,120.0494,69.3576
"40962",1.994,14.8655,12.3688,8.767,21.9495,10.1158,9.988,9.082,8.9392,6.2482,4.209,16.396,7.3726,10.7994,7.7947,5.6586,6.4279,6.4193,5.9513,11.495,3.8779,1.913,5.1924,7.2852,8.0748,5.3004,2.7815,4.6293,7.5192,7.7022,9.345,14.3291,11.6016
"40963",2.991,4.9838,5.2469,4.0555,3.9936,1.795,3.3052,4.3361,3.5485,1.7114,1.4124,4.1451,3.6555,4.7198,3.3558,2.3356,2.8749,2.4631,2.5626,3.8248,1.6212,0.5286,2.4786,3.5155,4.1051,2.5803,0.9348,1.0327,2.5742,3.8411,3.8887,3.6735,4.113
"40964",3.988,3.0999,4.4234,2.9915,2.2502,1.2345,2.582,3.7605,2.6146,1.2937,1.1041,2.5995,2.492,2.7351,2.0601,1.5,1.6927,1.4597,1.6345,2.2254,0.9995,0.3499,1.6623,2.4671,3.0915,1.8891,0.6374,0.5925,1.8302,3.0846,2.9138,2.2019,2.6353
"40965",4.985,2.2542,3.4185,2.3098,1.4872,0.7521,1.7344,2.5422,1.7902,0.8337,0.805,1.9786,1.813,1.7868,1.4691,1.1223,1.3265,1.0786,1.162,1.6394,0.6388,0.2357,1.094,1.7446,2.2378,1.3431,0.469,0.4435,1.2609,2.2524,2.2574,1.6346,2.133
"40966",5.982,1.7883,2.8165,1.9296,1.3127,0.6527,1.58,2.2256,1.4875,0.6963,0.6789,1.4353,1.411,1.2957,1.1464,0.9202,1.0343,0.8756,0.9331,1.2612,0.5343,0.1805,0.8634,1.2904,1.7739,1.0315,0.2981,0.3268,0.9153,1.8341,1.8314,1.355,1.7811
"40967",6.979,1.6247,2.5719,1.8197,1.062,0.5306,1.3197,2.1369,1.2772,0.524,0.3965,1.1498,1.1898,1.1486,0.9265,0.7044,0.7863,0.6515,0.7039,1.0238,0.4163,0.1669,0.7862,1.1411,1.6247,0.9973,0.2743,0.2417,0.8837,1.8569,1.7516,1.0358,1.5541
"40968",7.976,1.5307,2.5232,1.732,0.9157,0.4797,1.1479,1.9715,1.1601,0.4975,0.4862,1.2318,1.1301,1.0965,0.9451,0.817,0.9099,0.769,0.8608,1.0731,0.478,0.1714,0.7059,1.1483,1.4704,1.02,0.2785,0.23,0.9493,1.8443,1.8856,1.0999,1.5758
"40969",8.973,1.2896,2.1282,1.4362,0.8318,0.462,1.0079,1.7731,1.2315,0.5667,0.6564,1.3011,1.2675,1.3156,1.3028,1.288,1.3036,1.1463,1.3501,1.1875,0.6213,0.2192,0.6124,1.1808,1.4114,0.9197,0.2273,0.1922,0.7781,1.5465,1.4821,0.8671,1.269
"40970",9.97,1.4512,2.2371,1.6741,0.9584,0.6176,1.306,1.9829,1.7848,0.9151,1.2599,2.1113,1.8708,1.8523,2.7367,3.5686,2.8045,2.3574,3.4782,1.939,1.7385,0.2943,0.7902,1.6351,1.8382,1.3956,0.3013,0.3703,1.2124,1.921,1.8851,1.451,1.6653
"40971",10.967,2.5448,4.2517,3.3782,1.9457,1.1684,2.5737,4.2681,4.5406,1.6978,2.9191,4.996,4.5343,4.9263,8.9394,11.7483,11.6454,11.4814,22.9155,6.1122,7.0314,0.6297,1.7285,3.5659,4.1424,2.9734,0.5831,0.7056,2.3872,4.135,3.7699,2.6472,2.9508
"40972",11.964,3.1812,5.202,4.4974,2.9079,1.8043,3.9788,6.246,8.8676,2.6167,3.3801,8.8263,10.8591,13.8376,19.0981,15.3275,20.4211,19.0803,30.7272,11.4915,7.443,0.7131,2.7258,7.8941,6.8254,4.6427,0.8227,0.8549,2.9456,5.4532,4.4487,3.2489,3.473
"40973",12.961,1.1844,1.8133,1.5967,1.1992,0.8154,1.6433,2.2339,3.4445,1.2088,1.1997,3.9252,4.9804,6.2586,8.2043,4.7505,6.8952,5.9821,6.943,3.9412,1.6449,0.3714,0.9828,2.9478,2.4572,1.4899,0.3421,0.3158,0.9358,1.7461,1.4495,1.2229,1.2711
"40974",13.958,0.5896,0.761,0.5795,0.5061,0.346,0.6452,0.7944,0.9576,0.4588,0.4462,1.3054,1.2228,1.4038,1.7979,1.1891,1.4533,1.2297,1.5163,1.0809,0.4846,0.274,0.4372,0.8345,0.7761,0.4531,0.2034,0.1457,0.397,0.6013,0.5966,0.5804,0.6576
"40975",14.955,0.4331,0.5633,0.4121,0.393,0.2475,0.491,0.5299,0.509,0.3005,0.3123,0.7835,0.5877,0.6529,0.7419,0.5973,0.6658,0.5668,0.7057,0.5162,0.2935,0.3164,0.2671,0.4594,0.4379,0.274,0.1736,0.0983,0.2926,0.377,0.3908,0.3808,0.465
"40976",15.952,0.3834,0.4896,0.3665,0.3543,0.231,0.3667,0.4622,0.4093,0.2553,0.3068,0.5507,0.4691,0.5482,0.5516,0.5309,0.5484,0.4787,0.5325,0.4927,0.273,0.3266,0.2856,0.4489,0.4386,0.2904,0.1784,0.0961,0.2636,0.3583,0.3424,0.356,0.387
"40977",16.949,0.3691,0.4806,0.3528,0.327,0.2063,0.3544,0.4637,0.3745,0.233,0.3222,0.4992,0.4324,0.4897,0.4261,0.5127,0.4225,0.3508,0.4305,0.4479,0.2646,0.4279,0.2599,0.4148,0.3969,0.2866,0.199,0.1037,0.326,0.3555,0.3723,0.3976,0.4102
"40978",17.946,0.3713,0.487,0.379,0.3858,0.2502,0.4117,0.4812,0.3928,0.2527,0.3791,0.5155,0.4787,0.5387,0.5508,0.7311,0.5164,0.3866,0.4771,0.4901,0.3468,0.4757,0.2521,0.4411,0.411,0.2987,0.2133,0.1068,0.3135,0.3552,0.3538,0.3965,0.3803
"40979",18.943,0.3731,0.4349,0.3571,0.3438,0.2228,0.3967,0.437,0.453,0.2521,0.3277,0.5742,0.5478,0.5419,0.5759,0.6173,0.4855,0.3595,0.4462,0.5195,0.3233,0.4766,0.2508,0.4513,0.4077,0.2847,0.2586,0.0964,0.2648,0.3187,0.3318,0.3547,0.3851
"40980",19.94,0.3693,0.4779,0.3962,0.3892,0.2565,0.393,0.4793,0.5435,0.265,0.2954,0.6065,0.6376,0.6148,0.6256,0.5743,0.4887,0.3694,0.441,0.5713,0.2937,0.6019,0.2499,0.533,0.4708,0.33,0.2451,0.1015,0.2702,0.3459,0.3509,0.3906,0.3893
