"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"16385",0.997,200.7099,51.7273,28.3278,50.4631,112.8741,20.2438,28.8078,15.3073,62.5961,99.1224,17.0906,16.7376,17.482,15.7998,10.4121,18.3119,35.0256,35.9515,16.8195,8.685,340.1401,8.5826,24.2277,34.1095,78.2285,237.9024,36.1478,13.3532,18.0606,25.6665,629.2492,220.1653
"16386",1.994,10.6129,7.4145,4.9338,4.3343,8.9294,3.0621,5.3677,3.1586,3.824,5.4808,2.6427,3.2873,3.9953,3.6865,3.0147,4.5635,4.7174,4.1057,2.7743,2.1626,10.5361,1.6053,3.0482,4.4263,5.5477,8.0405,1.4253,1.6265,4.0122,3.5404,18.0239,9.3982
"16387",2.991,2.2609,3.3414,2.4534,1.5232,2.5557,1.6285,3.0935,1.9793,1.4333,1.4411,1.7226,2.0496,2.425,2.422,1.9795,3.0302,2.689,2.282,1.5021,0.9938,1.2115,0.721,1.6335,2.5156,1.502,1.0509,0.3558,0.6724,2.4069,1.8038,2.1295,2.7257
"16388",3.988,1.1709,2.988,2.3134,1.2624,1.5597,1.4776,2.9874,1.7419,1.3258,1.2923,1.4823,1.6538,1.7803,1.9189,1.5912,2.3639,2.1154,1.8016,1.139,0.8068,0.6968,0.5482,1.279,2.1087,1.2495,0.6675,0.2159,0.6174,2.2284,1.6146,1.4259,1.3771
"16389",4.985,0.7089,2.3294,1.7034,0.8075,1.0349,1.0492,2.3345,1.4914,1.0165,1.1779,1.2018,1.5025,1.513,1.692,1.374,2.1247,1.8519,1.5526,0.9225,0.6417,0.5248,0.4411,1.0908,1.7426,0.8634,0.4505,0.134,0.4961,1.7806,1.286,1.0591,0.9848
"16390",5.982,0.6137,2.0603,1.6715,0.7586,0.8995,1.0396,2.1774,1.498,0.8446,0.9579,0.9814,1.403,1.3678,1.5126,1.0134,1.4491,1.3208,1.211,0.7554,0.5343,0.3858,0.3733,0.8824,1.4862,0.7571,0.3377,0.0941,0.3954,1.5001,1.0204,0.7661,0.6909
"16391",6.979,0.5494,2.2543,1.806,0.73,0.9808,1.0586,2.4417,1.63,0.8791,0.879,0.9655,1.5529,1.4273,1.5899,0.9457,1.4486,1.2508,1.0813,0.7251,0.5225,0.3372,0.3764,0.8371,1.6585,0.7354,0.2796,0.088,0.3749,1.5325,0.9954,0.6641,0.5665
"16392",7.976,0.7131,2.1071,1.702,0.6783,1.0277,1.0439,2.3719,2.0062,0.9516,1.1851,1.2849,2.1822,2.3019,2.6519,1.3905,2.2235,1.8271,1.6186,1.1097,0.8619,0.3405,0.5368,0.9783,1.7632,0.6767,0.3298,0.1083,0.3784,1.4664,1.0122,0.7885,0.7274
"16393",8.973,1.4064,2.8358,2.8788,1.2491,1.877,1.9384,4.0706,5.3703,1.6798,2.9592,2.4594,5.607,4.8838,6.1315,3.2333,4.2766,3.4908,3.6348,3.3166,2.9658,0.7902,1.8351,1.922,2.8473,1.1495,0.545,0.2155,0.716,2.1776,1.6137,1.451,1.3543
"16394",9.97,1.9714,3.2826,2.9945,1.6384,2.1362,2.0045,3.6855,4.9551,2.3977,5.8585,4.2061,6.7258,9.077,11.7085,7.8462,10.9879,8.1164,7.6255,5.4686,4.8904,1.4606,2.198,2.7802,2.8776,1.2741,0.8197,0.3026,1.0645,2.4596,2.195,1.9942,1.648
"16395",10.967,4.0638,3.9882,3.7554,2.5834,2.4815,2.9441,4.4925,6.4958,3.6757,9.163,11.1547,14.4446,36.5612,38.2757,28.7716,84.2775,68.7461,57.8009,20.486,11.87,2.2612,3.8519,8.8831,5.2824,1.9067,1.4,0.405,1.3116,2.9527,2.6329,3.3014,2.8946
"16396",11.964,2.8843,3.6279,3.3267,2.3266,2.9467,2.5967,3.6936,4.8631,4.1404,8.4351,9.3216,9.445,23.4179,26.2067,23.3674,65.0507,54.7267,48.0889,13.2856,8.0244,1.7991,2.3501,5.5906,3.9939,1.7141,1.6539,0.4324,1.4046,2.7628,2.588,3.451,2.6576
"16397",12.961,1.3717,2.435,2.2953,1.4023,2.8408,1.6551,2.6428,2.5996,3.7183,4.7036,3.2729,2.9228,4.0767,4.5011,4.5262,7.4788,6.1773,5.5498,2.0746,1.7799,1.1013,1.1033,1.5928,2.3906,1.4616,1.6886,0.3673,0.7697,1.7313,1.4663,2.0998,1.3846
"16398",13.958,0.8293,1.5387,1.428,0.9142,2.1216,1.1169,1.6841,1.7131,2.8123,3.1913,1.7675,1.7292,2.3743,2.255,2.2655,3.2671,2.6893,2.4959,1.2308,1.1043,0.7801,0.6471,1.0864,1.465,0.8263,1.1814,0.2373,0.447,1.1791,0.9399,1.2735,0.8285
