"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"23041",0.997,28.8726,16.8703,18.3298,25.3017,14.5308,25.7332,18.542,22.6503,29.4308,8.5926,89.1663,29.7495,18.808,29.5959,11.4747,17.8571,6.4486,12.4878,12.3964,7.9729,75.6815,35.3371,22.89,26.4116,10.672,22.5932,8.5954,77.195,18.5593,24.0189,41.2379,63.4792
"23042",1.994,7.4928,7.2302,9.2196,5.6979,4.4782,5.1119,6.5258,5.6326,3.7447,1.8264,13.8254,6.9414,6.2771,6.4697,2.7843,4.3669,2.0082,2.7397,3.3457,1.7544,6.3854,4.899,5.9341,8.5225,4.2449,4.2498,1.8977,9.1066,7.0816,9.2529,10.6384,20.0386
"23043",2.991,2.3315,2.7689,2.6632,1.6567,1.0611,1.8316,2.5537,2.0592,1.0332,0.5514,2.5237,2.2501,1.7933,1.5586,0.7158,1.0313,0.6179,0.8398,1.0515,0.4897,1.3083,1.1991,2.2034,3.0038,1.5521,1.0557,0.4366,2.1137,2.7275,2.8602,2.9231,5.5443
"23044",3.988,1.2892,1.5427,1.2649,0.8053,0.547,0.9783,1.347,1.0169,0.6147,0.3671,1.4424,1.2891,1.2179,0.8677,0.4914,0.6462,0.4976,0.6064,0.7154,0.3247,0.9854,0.7209,1.224,1.6579,0.9646,0.5295,0.2056,1.1843,1.5389,1.5611,1.4832,2.8174
"23045",4.985,0.884,1.1741,0.8508,0.4609,0.3068,0.6009,0.988,0.6635,0.3654,0.2347,0.6687,0.9007,0.8179,0.5778,0.2925,0.4869,0.3954,0.5085,0.5005,0.1929,0.7186,0.4857,0.9205,1.0943,0.6639,0.3336,0.1285,0.7314,1.1132,1.0658,0.8923,1.7642
"23046",5.982,0.6976,0.8323,0.6224,0.357,0.2167,0.4293,0.6672,0.4664,0.2624,0.1283,0.5001,0.5571,0.56,0.4046,0.1973,0.331,0.3043,0.3432,0.3479,0.1467,0.4969,0.3137,0.5548,0.7024,0.4312,0.2038,0.0872,0.523,0.7775,0.7975,0.6824,1.2581
"23047",6.979,0.5577,0.6547,0.441,0.2556,0.1671,0.3085,0.5534,0.3614,0.2535,0.1216,0.3612,0.5271,0.6644,0.3732,0.1925,0.2615,0.2679,0.2978,0.3856,0.1365,0.4112,0.2566,0.5388,0.5919,0.3823,0.1868,0.0766,0.4417,0.6422,0.6326,0.5684,0.9063
"23048",7.976,0.4562,0.5616,0.4075,0.2586,0.1618,0.3103,0.5199,0.3569,0.3231,0.1398,0.3218,0.5055,0.5946,0.3772,0.1988,0.2404,0.2395,0.2815,0.372,0.1438,0.3395,0.2501,0.5019,0.5439,0.3468,0.1597,0.0784,0.3651,0.5686,0.5975,0.5089,0.8312
"23049",8.973,0.4123,0.5215,0.4078,0.2896,0.3136,0.3,0.5154,0.4247,0.4274,0.14,0.3413,0.5326,0.5988,0.3922,0.1792,0.2174,0.2223,0.2461,0.3958,0.1519,0.3005,0.2385,0.5405,0.5741,0.3373,0.1542,0.0944,0.3116,0.5039,0.5105,0.4873,0.7649
"23050",9.97,0.3881,0.5018,0.4244,0.2757,0.3219,0.3679,0.5134,0.5468,0.682,0.1852,0.4152,0.5332,0.5151,0.3877,0.2136,0.1913,0.1851,0.2239,0.3373,0.1371,0.3079,0.2174,0.4912,0.557,0.3176,0.1573,0.0936,0.3318,0.4871,0.4788,0.5203,0.793
