"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"5121",0.997,121.3758,58.8014,65.7661,3759.1511,2419.2048,312.6713,28.4338,32.1266,1886.0001,0.4301,606.8028,32.4436,80.7723,31.0599,0.4388,3008.3872,80.1169,23.4581,26.0421,21.9379,162.7463,19.6899,30.5253,28.4808,21.6502,183.5826,2735.4548,576.0737,31.1414,519.4572,9363.085,339.9969
"5122",1.994,14.443,10.0508,11.232,208.6178,132.1745,22.0257,10.5713,9.9463,90.2367,0.166,22.737,10.3779,11.8726,9.4863,0.1684,135.4246,9.8866,6.973,7.9747,5.8876,12.7176,5.4266,9.7278,11.0723,7.1465,10.5767,150.2413,26.7529,10.0311,25.5735,571.7146,19.9553
"5123",2.991,5.3722,7.0003,6.3116,9.973,10.5203,5.5257,7.8043,6.723,7.906,0.0722,6.8741,7.7784,7.8076,6.5526,0.0741,11.1743,4.7449,4.0456,5.5689,3.0429,2.8983,3.7394,7.4496,8.6247,5.5375,2.208,6.1892,5.1904,7.6427,7.369,19.8117,4.536
"5124",3.988,4.437,5.9987,5.3542,7.0615,6.534,4.8021,6.5359,5.6187,6.0326,0.0481,5.8299,6.1664,5.8941,5.3935,0.0487,7.7851,3.9488,3.3325,4.1078,2.3156,1.8944,2.7496,5.5622,6.878,4.2264,1.7159,3.7761,4.0169,6.3017,5.9736,12.4479,3.8321
"5125",4.985,2.9641,4.3495,3.9738,4.6161,4.1176,3.4556,4.7869,4.1453,4.1009,0.0306,4.1802,4.603,4.6881,4.1584,0.0309,5.4373,3.3119,2.775,3.4507,1.7986,1.2151,2.1904,4.2993,5.092,3.2428,1.2312,1.9319,2.8584,4.4866,4.5376,6.4048,2.825
"5126",5.982,2.1473,2.8392,2.6021,2.6559,2.2142,2.2066,2.9786,2.5092,2.1071,0.0256,2.2587,2.684,2.5706,2.2727,0.0259,2.5861,1.529,1.244,1.7896,1.0282,0.7631,1.159,2.4095,3.1451,1.8618,0.6435,0.8251,1.7868,2.7632,2.8885,3.146,1.8868
"5127",6.979,1.7471,2.5483,2.2451,2.3018,2.1121,1.9055,2.8476,2.5547,2.0129,0.0225,2.4404,3.1078,2.9548,2.5794,0.0226,2.5214,1.4972,1.2126,1.9971,1.0338,0.6045,1.1756,2.7175,3.461,1.8816,0.5781,0.6251,1.5622,2.649,2.5298,2.435,1.6202
"5128",7.976,2.2559,3.0513,2.8817,3.055,2.871,2.6713,3.4709,3.2547,2.9426,0.0216,3.3297,3.8725,3.7588,3.4622,0.0217,3.4825,1.961,1.5386,2.2455,1.5805,0.7759,1.3447,3.1629,3.9447,2.1425,0.707,0.7382,1.8375,3.0899,2.8201,2.6304,2.0822
"5129",8.973,3.0473,3.6811,3.6502,4.0099,3.6315,3.3699,4.2334,4.4452,3.7139,0.0172,5.0709,5.2875,5.5177,5.3643,0.0173,5.2247,2.799,2.3831,3.2626,2.8085,1.2227,1.9816,4.3287,4.7139,2.8861,0.8754,0.8476,2.2939,3.6612,3.3501,3.1892,2.7385
"5130",9.97,3.6623,4.3784,4.2154,4.0663,3.384,3.7104,5.262,5.4735,4.0738,0.0175,5.825,6.3419,6.8849,6.7405,0.0176,6.7533,3.819,3.5801,4.4517,3.1589,1.0728,2.5349,5.5335,5.8847,3.7197,0.9629,0.7743,2.5148,4.5265,3.7072,2.9572,3.1412
