"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"6145",0.997,65.3543,73.2169,97.0731,154.9701,188.9745,85.7232,112.9734,94.5719,158.1181,117.2155,95.4733,43.1487,82.1319,33.4977,116.0118,28.8497,15.5327,13.7972,57.3284,23.7197,82.768,13.4593,74.6827,40.8757,25.3268,29.2008,133.4318,27.6776,416.8746,23.037,43.8949,72.6679
"6146",1.994,6.8837,7.9021,9.0007,16.8011,18.8933,9.5139,9.9328,9.621,13.8522,10.4293,5.9893,6.9828,9.1972,5.6702,8.4137,2.969,2.9435,1.9007,8.031,3.5237,7.962,2.4051,8.8395,5.9503,4.0584,3.9458,11.4721,3.5979,46.7213,2.8427,5.2517,7.6362
"6147",2.991,1.5959,3.1379,3.3456,3.7806,4.5407,3.1188,3.7455,3.6531,4.0331,3.0973,2.2577,3.1705,3.5158,2.674,2.692,1.395,1.3714,1.0503,2.9876,1.2819,2.0267,1.2268,3.3607,3.1919,1.8965,1.0251,2.935,1.4284,6.6637,1.6494,1.4739,1.8539
"6148",3.988,0.8442,2.2572,2.1047,2.1117,2.9695,2.0447,2.6952,2.6522,2.545,1.7611,1.5523,2.3503,2.3273,1.9836,1.5271,1.031,0.9611,0.7135,1.6909,0.748,1.0442,0.8118,2.3369,2.453,1.3666,0.769,1.3085,0.9641,4.6414,1.2801,0.8071,0.9021
"6149",4.985,0.5414,1.1967,1.3372,1.2778,1.5495,1.2384,1.694,1.5876,1.6957,1.1507,1.0637,1.5475,1.5791,1.27,1.2647,0.8356,0.8168,0.597,1.1601,0.5397,0.5788,0.4733,1.3376,1.48,0.7047,0.4207,0.6449,0.4918,2.9012,0.7373,0.4777,0.5848
"6150",5.982,0.3855,0.9284,0.8763,0.8822,0.9341,0.8184,1.0328,0.9501,0.9084,0.6516,0.657,0.915,0.9388,0.784,0.7627,0.5029,0.5259,0.395,0.7582,0.3726,0.4164,0.3191,0.8946,0.903,0.4802,0.3223,0.4461,0.3715,1.8931,0.6166,0.3984,0.4775
"6151",6.979,0.2578,0.8459,0.7799,0.6514,0.7682,0.6856,0.9498,0.779,0.7646,0.5076,0.5348,0.8289,0.86,0.6766,0.5281,0.4099,0.4148,0.3365,0.672,0.315,0.2883,0.2655,0.7602,0.8752,0.4029,0.2344,0.3071,0.3128,1.6354,0.5554,0.3144,0.364
"6152",7.976,0.2723,0.7683,0.6586,0.557,0.6179,0.5576,0.7183,0.6297,0.5906,0.4508,0.5112,0.7886,0.8563,0.6012,0.5133,0.4095,0.4347,0.3551,0.5888,0.339,0.243,0.2629,0.7854,0.7658,0.3729,0.2607,0.2208,0.271,1.3922,0.4563,0.2378,0.3001
"6153",8.973,0.2149,0.6923,0.6094,0.5612,0.6709,0.5762,0.7107,0.5925,0.6935,0.5064,0.4581,0.726,0.695,0.5475,0.5163,0.3854,0.3438,0.2871,0.4823,0.3098,0.2244,0.2398,0.6474,0.6558,0.3865,0.2711,0.1966,0.2891,1.2599,0.4451,0.2418,0.2329
"6154",9.97,0.3099,0.7785,0.722,0.668,0.7597,0.6507,0.9075,0.7487,0.7486,0.5343,0.5027,0.8023,0.7235,0.6042,0.6391,0.3846,0.3325,0.283,0.4569,0.3723,0.2101,0.2574,0.6817,0.7796,0.4399,0.2911,0.2259,0.3113,1.2277,0.4967,0.2689,0.232
"6155",10.967,0.275,0.7038,0.5966,0.6488,0.7789,0.619,0.8468,0.7648,0.8185,0.61,0.602,0.8495,0.8065,0.7103,0.7532,0.4727,0.4104,0.3575,0.608,0.4357,0.2247,0.3511,0.7771,0.8226,0.518,0.4287,0.2152,0.3479,1.1052,0.4791,0.264,0.218
"6156",11.964,0.2213,0.6812,0.559,0.6289,0.7441,0.6167,0.8663,0.7957,0.7902,0.538,0.6009,1.0441,0.9374,0.7158,0.6931,0.4163,0.3581,0.309,0.7326,0.3405,0.2305,0.4742,1.0056,0.9905,0.6918,0.6004,0.1996,0.3578,1.351,0.543,0.2525,0.2304
"6157",12.961,0.1745,0.4839,0.4432,0.4059,0.4661,0.459,0.6629,0.6439,0.6836,0.3817,0.4761,0.8299,0.7026,0.5616,0.4915,0.2862,0.2602,0.2255,0.5202,0.2673,0.1849,0.335,0.725,0.7428,0.548,0.6218,0.1566,0.3126,1.0031,0.4019,0.2086,0.1972
"6158",13.958,0.1406,0.3362,0.3129,0.2991,0.3406,0.3366,0.4133,0.4189,0.6071,0.3094,0.3144,0.5043,0.4712,0.3686,0.3185,0.2029,0.1785,0.1814,0.3494,0.2202,0.1932,0.2078,0.4621,0.4587,0.3303,0.6403,0.1399,0.2878,0.7508,0.2306,0.1702,0.1628
"6159",14.955,0.1178,0.2194,0.2328,0.2187,0.3061,0.2491,0.2662,0.296,0.759,0.3227,0.2567,0.3258,0.3617,0.3095,0.3043,0.187,0.1699,0.1678,0.2591,0.1967,0.2095,0.1436,0.3092,0.296,0.2005,0.7808,0.1377,0.2705,0.5605,0.1489,0.1461,0.1786
"6160",15.952,0.1206,0.1884,0.1988,0.2101,0.3208,0.235,0.2349,0.245,0.8272,0.3578,0.2366,0.2978,0.2913,0.2719,0.2881,0.1973,0.1735,0.1604,0.2533,0.1769,0.2053,0.1361,0.2746,0.299,0.1975,0.8272,0.12,0.3405,0.531,0.1367,0.1388,0.1524
"6161",16.949,0.1103,0.2004,0.1992,0.2039,0.2653,0.2318,0.2737,0.2713,0.8402,0.3085,0.2364,0.3383,0.3282,0.2798,0.2786,0.216,0.1797,0.1791,0.256,0.2063,0.1999,0.1404,0.2632,0.2945,0.1937,0.8547,0.1285,0.3069,0.4965,0.1534,0.1501,0.1318
"6162",17.946,0.1092,0.2241,0.2121,0.2252,0.2718,0.234,0.2414,0.2495,1.1858,0.3331,0.218,0.2699,0.2638,0.2328,0.2801,0.1934,0.1749,0.1764,0.2349,0.2158,0.224,0.149,0.2355,0.2483,0.2007,0.6545,0.128,0.2662,0.4464,0.1642,0.1429,0.1511
"6163",18.943,0.1051,0.1947,0.2021,0.2261,0.2721,0.2372,0.217,0.2507,1.2231,0.3449,0.203,0.2575,0.2582,0.2156,0.2728,0.1705,0.1682,0.1743,0.2638,0.2268,0.276,0.1706,0.2189,0.2127,0.2131,0.5652,0.1263,0.2532,0.4498,0.1513,0.1811,0.136
"6164",19.94,0.1144,0.2128,0.1958,0.1986,0.2828,0.2241,0.2252,0.2393,1.6536,0.3904,0.2078,0.2519,0.2588,0.2525,0.2813,0.1738,0.16,0.1636,0.2433,0.2137,0.2656,0.155,0.2309,0.2394,0.2024,0.6079,0.1501,0.2106,0.509,0.1525,0.1734,0.1216
"6165",20.937,0.1178,0.2285,0.2003,0.1934,0.285,0.221,0.241,0.2498,1.8693,0.3672,0.2021,0.2612,0.2762,0.2332,0.2421,0.1705,0.1685,0.1846,0.2692,0.2258,0.2665,0.1822,0.2691,0.2617,0.249,0.691,0.1449,0.2456,0.5017,0.1854,0.1783,0.1367
"6166",21.934,0.1192,0.2421,0.2362,0.2221,0.2712,0.231,0.2926,0.2666,1.9651,0.3916,0.2049,0.2833,0.279,0.2405,0.2415,0.1815,0.1726,0.1715,0.2432,0.212,0.323,0.1666,0.2898,0.3073,0.2635,0.6843,0.1299,0.2909,0.4691,0.2081,0.1914,0.1363
"6167",22.931,0.1011,0.2189,0.218,0.1815,0.2624,0.2458,0.2742,0.292,1.8569,0.3725,0.2288,0.2805,0.2699,0.2523,0.238,0.1838,0.1608,0.1773,0.2358,0.1928,0.2807,0.1579,0.2761,0.2848,0.2436,0.7105,0.1573,0.2659,0.457,0.1838,0.2157,0.1404
"6168",23.928,0.105,0.1863,0.2047,0.1931,0.2342,0.2699,0.2437,0.2971,1.7349,0.3671,0.2182,0.2419,0.2279,0.2266,0.2197,0.1664,0.1473,0.1777,0.2087,0.1908,0.2707,0.1504,0.2177,0.2613,0.2056,0.6096,0.143,0.2556,0.3927,0.1594,0.2287,0.1434
"6169",24.925,0.1099,0.1969,0.1855,0.1751,0.2515,0.224,0.2248,0.2468,1.7426,0.3183,0.1906,0.2219,0.2116,0.2017,0.2148,0.169,0.145,0.185,0.2063,0.1912,0.2839,0.1453,0.1945,0.2378,0.1874,0.6949,0.1376,0.2653,0.4035,0.1795,0.1955,0.1489
"6170",25.922,0.0976,0.2024,0.1733,0.1704,0.2137,0.2134,0.2305,0.2047,1.6283,0.3499,0.1714,0.2218,0.213,0.19,0.2035,0.1764,0.1478,0.1862,0.2145,0.1972,0.3093,0.1588,0.2316,0.2314,0.2145,0.5946,0.1234,0.2838,0.3964,0.1826,0.1743,0.1407
"6171",26.919,0.1034,0.2073,0.1717,0.192,0.203,0.2152,0.2223,0.218,1.7292,0.3429,0.1817,0.209,0.1918,0.2015,0.1992,0.168,0.1597,0.1737,0.1968,0.1999,0.2828,0.148,0.1928,0.2206,0.1846,0.6676,0.1184,0.3069,0.3464,0.1874,0.197,0.1439
"6172",27.916,0.0923,0.1828,0.1494,0.1751,0.1997,0.2128,0.2187,0.2086,1.4097,0.3048,0.1817,0.2076,0.2035,0.2027,0.2073,0.1737,0.1541,0.1837,0.2044,0.2114,0.3136,0.1436,0.1923,0.228,0.1666,0.6985,0.1207,0.2783,0.3841,0.1513,0.1976,0.1287
"6173",28.913,0.0988,0.1965,0.161,0.1759,0.1837,0.2079,0.2308,0.2044,1.261,0.3046,0.1645,0.2169,0.2143,0.1814,0.188,0.1474,0.1398,0.1666,0.1766,0.1863,0.286,0.1295,0.188,0.2672,0.161,0.7305,0.1401,0.293,0.3265,0.1495,0.1956,0.1248
"6174",29.91,0.1061,0.1562,0.136,0.1708,0.176,0.1749,0.1592,0.1764,1.3147,0.2735,0.1468,0.1816,0.1851,0.1781,0.1706,0.1418,0.1361,0.1679,0.1743,0.1766,0.2555,0.1284,0.1696,0.213,0.1434,0.8297,0.1241,0.3018,0.2602,0.1355,0.1549,0.137
"6175",30.907,0.1204,0.1775,0.158,0.171,0.1688,0.1865,0.1716,0.1855,1.3685,0.2934,0.1445,0.1943,0.1928,0.1692,0.16,0.135,0.1395,0.1773,0.1861,0.1998,0.2875,0.1469,0.1821,0.213,0.1644,0.7494,0.1178,0.3524,0.3038,0.1444,0.1474,0.1426
"6176",31.904,0.1003,0.1621,0.1457,0.1822,0.1695,0.1766,0.1701,0.1654,1.257,0.3257,0.1271,0.1824,0.1654,0.1527,0.1592,0.1336,0.1249,0.1705,0.1635,0.1983,0.317,0.1285,0.1584,0.1916,0.151,0.868,0.1199,0.3172,0.3201,0.1534,0.1567,0.1277
"6177",32.901,0.0924,0.1341,0.1464,0.1593,0.1585,0.1767,0.1599,0.1678,1.3586,0.3441,0.1394,0.166,0.1646,0.145,0.1786,0.1331,0.132,0.1733,0.1595,0.1819,0.2696,0.1205,0.164,0.1676,0.1473,0.8152,0.0978,0.3162,0.3086,0.1448,0.1661,0.117
"6178",33.898,0.0993,0.1564,0.1659,0.1855,0.18,0.1816,0.1784,0.1681,1.189,0.2898,0.1328,0.1736,0.1476,0.1403,0.1611,0.1208,0.1249,0.1661,0.1436,0.1681,0.248,0.1145,0.1571,0.1631,0.1549,0.7842,0.1259,0.3507,0.3177,0.1652,0.1759,0.1155
"6179",34.895,0.0927,0.1437,0.1507,0.1719,0.2081,0.1843,0.1734,0.1683,1.1911,0.2645,0.1417,0.1808,0.1667,0.149,0.1398,0.1238,0.1272,0.174,0.1564,0.1825,0.2327,0.1223,0.1568,0.1636,0.1435,0.7802,0.1138,0.272,0.2878,0.1256,0.1491,0.1128
"6180",35.892,0.0818,0.1242,0.117,0.1499,0.1668,0.1531,0.1344,0.1491,1.1145,0.3097,0.1232,0.1472,0.1432,0.1362,0.1442,0.1198,0.1164,0.1608,0.1462,0.1545,0.2323,0.115,0.1414,0.1453,0.126,0.6542,0.1206,0.2819,0.2411,0.1222,0.1589,0.092
"6181",36.889,0.0734,0.1205,0.1166,0.1247,0.1727,0.1543,0.1332,0.1424,1.1972,0.2938,0.1094,0.138,0.1551,0.1332,0.1337,0.1165,0.1181,0.1814,0.16,0.203,0.2776,0.1325,0.1438,0.1383,0.1457,0.7268,0.1204,0.2795,0.2413,0.1124,0.166,0.1069
"6182",37.886,0.0738,0.1225,0.118,0.1259,0.1827,0.145,0.1351,0.1438,1.1168,0.2603,0.1117,0.131,0.1503,0.1284,0.1417,0.1267,0.1173,0.1728,0.1429,0.1805,0.2556,0.1233,0.1424,0.1259,0.1398,0.8671,0.1142,0.2807,0.2315,0.113,0.1719,0.099
"6183",38.883,0.0792,0.1124,0.1107,0.1212,0.1658,0.1418,0.1235,0.1436,1.3025,0.2781,0.1169,0.1274,0.1474,0.1275,0.1402,0.1269,0.1188,0.1692,0.1388,0.1928,0.2537,0.1209,0.1307,0.1149,0.1287,0.8152,0.105,0.2713,0.197,0.1024,0.1879,0.1041
"6184",39.88,0.0818,0.122,0.1147,0.1325,0.2003,0.1557,0.1308,0.1444,1.3359,0.2743,0.1135,0.1301,0.146,0.1183,0.1457,0.117,0.1085,0.1469,0.1269,0.1662,0.2654,0.1093,0.1328,0.1264,0.1285,0.7371,0.1142,0.271,0.214,0.1046,0.1878,0.0983
"6185",40.877,0.0828,0.1026,0.0971,0.1274,0.1815,0.1454,0.1145,0.1411,1.7072,0.2538,0.1093,0.1207,0.1399,0.1186,0.1433,0.1139,0.1173,0.1615,0.1387,0.1762,0.2499,0.1159,0.1298,0.1252,0.1324,0.7768,0.1064,0.3061,0.191,0.1056,0.1644,0.1105
"6186",41.874,0.0906,0.1113,0.1035,0.136,0.1663,0.1475,0.1283,0.1445,1.7619,0.2701,0.114,0.1371,0.1493,0.132,0.1444,0.1234,0.128,0.1757,0.147,0.1904,0.2664,0.1257,0.1423,0.1325,0.1238,0.8183,0.119,0.3172,0.2167,0.1,0.1497,0.1167
"6187",42.871,0.0903,0.1157,0.1139,0.1362,0.1564,0.1412,0.1192,0.1433,1.6361,0.2499,0.1193,0.1369,0.1567,0.1307,0.1485,0.1226,0.1212,0.1864,0.1561,0.1792,0.2576,0.1199,0.1376,0.1205,0.1205,0.7653,0.1387,0.2894,0.1874,0.0963,0.1582,0.1133
"6188",43.868,0.0898,0.107,0.0984,0.1248,0.1523,0.1287,0.124,0.1245,1.5926,0.2371,0.1175,0.1302,0.1332,0.1205,0.1353,0.1199,0.1161,0.1631,0.1296,0.1637,0.2564,0.1091,0.133,0.126,0.1146,0.7199,0.1256,0.3561,0.195,0.1046,0.1814,0.116
