"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"19969",0.997,158.2905,22.8467,43.9414,286.0302,385.6264,80.1371,10.6369,59.9123,86.9231,72.62,35.8135,82.5855,18.714,29.8956,56.4183,48.7921,50.3409,65.1814,107.9379,43.8169,82.6423,35.3156,33.5075,9.6341,21.1914,108.2608,231.1727,85.3956,42.0332,116.1898,379.1667,93.0874
"19970",1.994,16.0266,1.9964,5.9854,56.4153,49.8523,15.0025,1.822,6.7316,13.6618,12.012,5.7622,8.224,4.1199,5.1167,8.8503,10.0781,10.911,12.4223,13.0756,7.8619,14.8433,5.5211,4.6304,1.4324,3.3407,17.1451,38.3923,15.5381,4.8269,14.2914,70.5228,12.5428
"19971",2.991,3.3328,0.4258,1.3512,11.7556,11.0508,3.8452,0.4732,1.9174,4.5885,5.1972,2.239,1.5887,1.4471,1.9435,3.978,4.4457,4.5424,5.3021,4.1794,3.3727,4.8925,2.0839,1.2368,0.4035,1.0413,4.5564,8.9535,3.8941,0.9526,2.6195,13.9672,3.6183
"19972",3.988,1.8902,0.2044,0.8921,6.9842,5.8294,2.1665,0.2935,0.9678,2.5486,3.1269,1.4332,0.8716,0.9512,1.4004,2.4397,2.9301,2.9643,3.1435,2.0313,1.9753,3.1089,1.2297,0.7179,0.2035,0.6838,2.81,5.4352,2.3185,0.5386,1.4555,8.6186,1.8551
"19973",4.985,1.1925,0.1311,0.678,3.9648,3.5295,1.4722,0.2171,0.7016,1.7172,2.4489,1.0194,0.5179,0.5861,0.9321,1.9129,2.1904,2.2844,2.316,1.3823,1.4353,2.2614,0.8016,0.4191,0.1113,0.4038,1.8052,3.2576,1.3941,0.3189,0.819,4.5115,1.1715
"19974",5.982,1.0407,0.0924,0.4581,2.4031,2.1155,0.8653,0.1585,0.5025,1.1132,1.833,0.7835,0.4441,0.6346,0.8752,1.6494,2.1807,2.1962,2.1863,1.0153,1.2576,1.6097,0.6798,0.3847,0.1103,0.3321,1.0901,1.7801,0.8055,0.1988,0.4931,2.1932,0.7333
"19975",6.979,0.9213,0.0907,0.5128,1.8634,1.991,0.7825,0.1388,0.4826,1.1607,1.7681,0.8031,0.4884,0.7254,0.9255,1.5806,2.2487,2.3178,2.271,0.9931,1.4307,1.7107,0.7176,0.4203,0.1208,0.355,0.9952,1.4514,0.817,0.1792,0.4899,1.5141,0.7134
"19976",7.976,0.921,0.0819,0.4467,1.4646,1.8218,0.761,0.1137,0.4933,1.4188,2.1728,0.9832,0.5819,0.827,1.1063,1.782,2.2607,2.3587,2.2623,1.0608,1.4017,1.8933,0.6976,0.4575,0.1338,0.3066,0.926,1.429,0.6236,0.1332,0.3928,1.2125,0.8113
"19977",8.973,1.1161,0.0819,0.4057,1.5808,1.8974,0.6785,0.1112,0.5624,1.6738,2.2522,1.2551,0.7542,0.916,1.314,1.888,2.2048,2.3601,2.2463,1.1022,1.6967,2.2525,0.9124,0.5217,0.1431,0.395,1.2809,1.5709,0.6575,0.1346,0.3971,1.1176,0.8333
"19978",9.97,1.1999,0.0641,0.3601,1.2517,1.7121,0.6208,0.0914,0.6042,1.8217,2.2127,1.4338,0.8487,1.0639,1.6029,2.2433,2.5456,2.5859,2.4802,1.2508,1.9174,2.3135,1.1334,0.57,0.1567,0.502,1.4418,1.5288,0.6857,0.1266,0.3604,1.1061,0.8762
"19979",10.967,1.2469,0.0545,0.4371,1.2781,1.4739,0.6999,0.1017,0.5352,1.5909,1.8894,1.1415,0.6591,0.9695,1.2479,1.7898,2.1121,2.1719,2.0129,1.2222,1.6359,1.8695,1.1143,0.5254,0.1256,0.501,1.252,1.2272,0.5542,0.1198,0.3337,0.8128,0.7167
"19980",11.964,1.0549,0.0522,0.437,1.1554,1.2998,0.6481,0.0893,0.4987,1.5448,1.6946,1.0748,0.5993,0.8467,1.162,1.6837,1.7014,1.5697,1.4398,1.1278,1.4389,1.8109,1.116,0.5085,0.1222,0.5877,1.194,1.2197,0.6239,0.1058,0.3548,0.7685,0.5764
"19981",12.961,1.1431,0.0624,0.5657,1.0617,1.1003,0.69,0.097,0.5115,1.3448,1.5561,0.9469,0.6137,0.8371,1.0732,1.4948,1.5932,1.4494,1.3555,1.2525,1.4355,1.7134,1.3094,0.6088,0.1281,0.8,1.2606,1.2,0.7393,0.1236,0.4508,0.8885,0.6531
"19982",13.958,1.2558,0.0523,0.6095,1.094,1.0652,0.6727,0.0876,0.4147,1.4921,1.4785,0.778,0.4623,0.6113,0.7917,1.2893,1.3368,1.2431,1.2399,0.8364,1.1252,1.5477,0.8495,0.4629,0.1107,0.4989,1.0576,1.1588,0.5498,0.0962,0.4396,0.7479,0.5655
"19983",14.955,1.174,0.0472,0.5433,1.1047,0.9287,0.6387,0.0872,0.3669,1.6396,1.2108,0.6901,0.419,0.6365,0.7876,1.1841,1.4206,1.3028,1.2535,0.9079,1.1188,1.4246,0.8222,0.4474,0.0919,0.431,0.9901,0.9759,0.5149,0.102,0.4728,0.8396,0.6027
