"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"23553",0.997,111.8553,63.6894,69.448,134.0943,112.5268,71.1738,71.9709,51.0023,56.0565,42.9263,40.1428,52.8262,49.9449,46.0321,30.2677,29.6674,101.4799,60.7024,42.8526,69.1623,18.1375,37.4052,52.7281,64.4996,47.0197,40.8173,39.1799,24.7754,51.9731,63.7314,123.3482,105.1589
"23554",1.994,16.3019,14.8196,13.2074,13.3999,10.0831,9.2677,13.8167,10.4462,6.5342,5.5689,7.7445,11.2517,11.1498,10.4062,6.3096,7.6257,26.5029,11.9591,10.0397,23.2854,4.2067,11.1175,10.7277,14.6763,10.4003,8.2922,6.8247,5.7535,12.9975,13.3923,19.1986,15.4236
"23555",2.991,4.1353,5.2304,4.7088,3.369,2.4903,3.2135,5.5024,4.2683,2.3975,1.9162,3.3516,4.649,4.5934,4.7005,3.3517,3.5197,10.1411,4.1859,4.1213,5.8872,1.4105,3.2389,4.4087,6.0321,4.0187,2.4906,1.6122,2.1817,5.2206,4.6212,3.3564,3.8818
"23556",3.988,3.5199,5.1243,4.8009,2.8818,2.2234,3.1253,5.2526,3.9944,2.2451,1.7059,2.9685,4.2212,3.778,3.7524,2.6721,2.6377,4.546,2.7618,3.3669,3.3974,0.9278,2.7041,3.8915,5.7904,3.7073,1.6969,0.9892,2.1338,4.8607,4.309,2.4739,3.227
"23557",4.985,2.9286,5.2693,4.7499,2.3717,1.7091,3.0804,5.6203,4.4372,2.1767,1.1311,3.2212,4.9963,4.4696,4.0976,2.6334,2.6644,3.4368,2.649,3.6214,2.6744,0.667,2.5976,4.5456,6.3708,3.6711,1.3387,0.605,2.0275,5.2711,4.3791,1.8922,2.7531
"23558",5.982,1.9369,3.1765,2.8351,1.6957,1.2775,1.8446,3.2754,2.3289,1.3716,0.9728,1.7378,2.5262,2.3532,2.1339,1.6465,1.4828,1.85,1.3459,1.8069,1.4766,0.3792,1.2212,2.3274,3.5597,1.9966,0.7036,0.3676,1.0559,2.9489,2.5892,1.2164,1.6957
"23559",6.979,1.9911,3.9025,3.0624,1.5932,1.017,1.7493,3.6981,2.5203,1.141,0.7232,1.6116,2.7898,2.6294,2.1541,1.4533,1.4631,1.7874,1.4434,2.0155,1.3695,0.3425,1.3334,2.6335,3.9943,2.1918,0.6712,0.3187,1.1918,3.3621,3.0074,1.2036,1.8388
"23560",7.976,1.4344,2.871,2.2665,1.1676,0.6843,1.2453,2.5001,1.6825,0.821,0.5638,1.1441,1.7944,1.6264,1.4733,1.141,1.044,1.2007,1.0478,1.2906,0.9515,0.2957,0.8882,1.6459,2.691,1.5168,0.4978,0.2664,0.8958,2.3204,2.2572,0.9378,1.2568
"23561",8.973,0.9589,1.951,1.5149,0.7247,0.4977,0.8071,1.7515,1.21,0.6157,0.5068,0.8689,1.5057,1.5035,1.3899,0.9533,1.1082,1.2848,0.9531,1.1484,0.8115,0.2435,0.7976,1.4293,2.038,1.2677,0.4336,0.1966,0.6536,1.7264,1.56,0.6892,0.8526
"23562",9.97,0.7368,1.1459,0.9872,0.5268,0.3324,0.5882,1.0784,0.843,0.4268,0.4115,0.6225,0.947,0.988,0.9863,0.6977,0.9136,1.0499,0.7144,0.6886,0.6235,0.1745,0.4748,0.8006,1.1786,0.7038,0.3432,0.1549,0.3933,0.945,0.8856,0.5064,0.624
