"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"13313",0.997,42.2637,22.152,19.1842,28.0963,35.9908,15.7676,17.8175,14.6939,16.2244,15.2206,13.3379,32.027,36.3892,16.623,10.9841,10.492,10.561,11.3421,86.5603,10.2118,6.455,40.0639,38.7953,30.7313,20.0961,5.618,11.1917,16.3451,41.3488,17.1966,11.4807,42.5643
"13314",1.994,9.1719,4.3242,5.0442,9.7662,11.8703,5.5368,4.1258,3.7861,6.4374,4.3068,4.0839,4.0765,3.5435,3.5229,3.3528,2.2617,2.3253,2.3252,4.0192,2.1737,1.0779,2.3168,4.0307,4.3333,2.6766,1.4844,2.334,2.1911,5.7312,2.7385,3.2091,5.4651
"13315",2.991,3.0266,1.937,2.1775,4.1456,6.2969,2.6279,1.963,1.8383,3.3718,1.9235,2.0183,1.9512,1.8534,1.7224,1.5517,1.1881,1.2121,1.2177,1.8395,1.2149,0.5242,1.105,1.9433,2.1004,1.2979,0.609,0.9968,0.9369,2.3732,1.2376,1.4595,1.9392
"13316",3.988,1.9125,1.5205,1.5574,2.8289,4.6507,1.9502,1.4694,1.4785,2.7412,1.5421,1.7185,1.4718,1.4183,1.4001,1.2628,0.8331,0.8453,0.8691,1.3983,0.8912,0.342,0.8258,1.4448,1.563,0.997,0.4239,0.5641,0.6271,1.6381,0.8819,0.7589,1.1509
"13317",4.985,1.2078,1.0694,1.0351,1.4097,1.8981,1.0516,1.0563,0.9791,1.2804,0.781,0.946,0.9582,0.8678,0.8576,0.7847,0.5635,0.579,0.5765,0.9521,0.6042,0.2047,0.5666,0.9272,1.0451,0.6576,0.2975,0.3264,0.4277,1.025,0.6051,0.5389,0.7877
"13318",5.982,1.0102,0.9333,0.9448,0.9976,1.1269,0.8032,0.932,0.7813,0.9022,0.5777,0.7616,0.7848,0.6635,0.7335,0.7351,0.5011,0.5197,0.5175,0.6752,0.5294,0.1694,0.4176,0.6826,0.8611,0.4339,0.2112,0.2461,0.3276,0.7489,0.4927,0.4111,0.6811
"13319",6.979,1.0119,1.1944,1.1153,1.2078,1.5807,0.9692,1.2441,0.9817,1.094,0.721,0.92,1.0214,0.9488,0.9072,0.8409,0.6264,0.6482,0.6508,0.9596,0.6393,0.2205,0.6113,0.9932,1.1657,0.7006,0.3374,0.3388,0.5367,1.0638,0.7175,0.5654,0.699
"13320",7.976,1.5031,1.6395,1.7161,2.3989,3.2997,1.7014,1.768,1.3855,1.8335,1.4187,1.2683,1.3825,1.3735,1.1698,1.3353,1.1192,1.13,1.1346,1.5678,1.2148,0.4607,1.1191,1.5094,1.5811,1.1887,0.5762,0.7509,0.9955,1.5079,1.2136,1.2775,1.1743
"13321",8.973,1.6928,1.7314,1.7605,2.9684,5.0932,2.1427,1.8177,1.5546,2.8744,2.1497,1.4789,1.5901,1.4793,1.1916,1.5236,1.0575,1.078,1.0794,1.6705,1.3136,0.5559,1.2868,1.7193,1.8844,1.3574,0.8092,1.0949,1.2372,1.7853,1.3419,1.5525,1.2063
"13322",9.97,1.8047,1.6899,1.7683,2.7797,5.4697,2.3236,1.7904,1.7445,4.1225,2.6604,2.0246,1.6149,1.4624,1.3172,1.8214,0.9179,0.929,0.932,1.5273,1.1605,0.5145,1.1427,1.6116,1.7693,1.2876,0.9022,1.1563,1.2524,1.7039,1.325,1.3856,1.3482
"13323",10.967,1.6302,1.5478,1.613,2.3428,4.4754,2.1562,1.6633,1.7669,4.2256,2.5645,2.3939,1.5144,1.3159,1.7168,2.3395,0.9391,0.9565,0.9491,1.4411,1.4443,0.6299,1.1965,1.4116,1.5834,1.2219,1.0007,0.8844,1.0545,1.591,1.1748,1.0434,1.232
"13324",11.964,1.7151,1.7739,1.8248,1.9048,2.8191,1.9604,1.9764,2.078,3.4402,1.9611,3.2303,2.1057,1.738,2.972,3.674,1.3771,1.4027,1.3838,2.022,2.2399,0.7699,1.7065,1.7624,1.9093,1.3833,1.0575,0.7671,1.0583,1.7461,1.3364,1.0127,1.3915
"13325",12.961,2.2123,2.2846,2.2177,2.1931,2.6139,2.3029,2.5031,2.4297,3.3493,1.6416,3.3599,2.2778,2.3653,2.9822,3.4231,1.5171,1.542,1.5558,2.9907,3.0462,0.6279,1.8651,2.2145,2.2385,1.5714,0.9607,0.5729,1.098,2.0965,1.6455,1.0386,1.7632
"13326",13.958,1.8245,1.9179,1.9284,1.947,2.2169,2.1822,2.1755,2.6068,3.0453,1.5694,3.3492,2.0729,2.4326,2.8107,3.0042,1.3199,1.3341,1.3444,2.9169,3.0312,0.5627,1.6124,1.7173,1.7347,1.1386,0.7304,0.4868,0.8582,1.6099,1.3321,0.8302,1.4667
"13327",14.955,1.2403,1.4548,1.4641,1.3192,1.4272,1.4658,1.736,1.9332,1.9035,1.1132,2.1805,1.5585,1.406,1.9617,2.0898,0.7873,0.8132,0.8045,1.616,1.5847,0.4076,1.2046,1.3016,1.5244,1.0628,0.5744,0.3843,0.6571,1.3521,0.9339,0.5546,0.9806
"13328",15.952,1.0935,1.2478,1.2421,1.2132,1.2862,1.274,1.4142,1.4881,1.5019,0.946,1.6317,1.1329,0.9307,1.3704,1.6748,0.6407,0.6544,0.6526,1.0618,1.0176,0.3483,0.8628,1.0044,1.2943,0.8771,0.4234,0.3135,0.5804,1.155,0.8263,0.496,0.9109
"13329",16.949,1.0134,1.1304,1.0443,0.9421,0.9779,0.9548,1.2589,1.1385,1.0763,0.6766,1.1581,1.0305,0.8629,0.9871,1.3456,0.533,0.5436,0.5396,1.0508,0.8559,0.2643,0.7654,1.0456,1.3734,0.7999,0.3621,0.3161,0.598,1.1373,0.7973,0.5459,0.8604
"13330",17.946,1.0045,1.0925,1.0684,0.8874,0.7818,0.9369,1.3117,1.1547,0.798,0.5823,0.8574,1.0053,0.8712,0.7761,1.0502,0.4724,0.4847,0.4798,0.958,0.8014,0.2178,0.6663,0.9523,1.3228,0.683,0.2925,0.2476,0.4841,1.0337,0.7074,0.4753,0.8423
