"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"34305",0.997,65.838,36.8726,84.7347,70.4494,95.8282,40.6838,54.892,34.6257,51.0106,956.3069,39.0655,32.3189,31.8421,82.9189,36.6284,39.8893,44.8558,89.0255,27.1573,44.3776,44.125,18.7326,32.9559,45.5351,37.3083,12.1556,363.1004,26.7626,55.025,123.6251,40.4242,70.1204
"34306",1.994,13.9523,13.883,16.4674,17.7145,18.2856,12.1314,16.0147,11.1824,14.7087,80.107,12.9331,11.6721,12.89,18.4999,11.0991,15.0744,16.7206,21.2885,11.0144,11.7136,7.5595,7.7888,10.1559,13.8041,10.5929,3.7893,25.7567,5.0319,16.09,19.6205,8.5268,5.6209
"34307",2.991,6.0542,6.0692,7.9558,6.2473,5.8172,4.3778,6.6212,5.3345,4.3978,18.7978,5.0271,5.7307,6.4118,6.6494,4.4065,6.6981,6.5593,7.7322,5.2099,4.1819,1.9815,3.4069,5.3275,6.7451,4.9502,1.9972,8.6166,2.798,6.5412,6.7347,3.1035,2.8385
"34308",3.988,3.7063,4.1198,4.7333,3.5987,3.3129,2.7234,4.2828,3.2145,2.676,8.1638,2.8744,3.53,3.784,3.4982,2.7066,3.5553,3.8079,3.6686,2.8381,2.1943,1.1322,1.9128,3.2417,4.5437,2.8578,1.0886,4.4859,1.6971,4.3008,3.6873,1.7824,1.5505
"34309",4.985,2.2918,3.7994,4.037,2.687,2.3163,2.4771,3.9545,3.025,2.4724,3.9975,2.6434,3.3141,3.4342,3.2516,2.6125,3.2042,3.5404,2.9457,2.2582,1.6046,0.9823,1.3825,2.8616,4.4056,2.3776,0.7152,2.9826,1.3387,3.7769,2.842,1.1514,1.1102
"34310",5.982,2.1947,4.9466,4.512,2.3232,2.0849,2.8045,5.0258,3.6438,2.3703,3.4319,2.9637,3.5412,3.4399,3.249,3.0475,2.8579,3.0757,2.6327,2.4856,1.6519,0.9918,1.5299,3.188,4.8422,2.8378,0.7088,2.1521,1.4114,4.9937,3.0623,0.9533,0.9947
"34311",6.979,1.874,5.616,4.9076,2.0122,1.4901,2.6815,5.8302,3.8257,1.747,2.1269,2.3563,3.7482,3.2697,3.1093,2.226,2.7448,2.6457,2.384,2.218,1.5204,0.8081,1.3849,3.1438,5.2273,3.1842,0.6023,1.3112,1.5449,5.7181,3.2322,0.932,0.9011
"34312",7.976,1.4065,3.7029,3.3917,1.6018,1.3265,1.9404,3.8134,2.9629,1.4272,1.8729,1.9203,3.1633,2.8706,2.6981,1.8118,2.2655,2.1424,2.0334,2.2047,1.5773,0.8076,1.4216,2.7532,3.8814,2.5875,0.6103,1.0007,1.3228,3.5984,2.372,0.8831,0.7558
"34313",8.973,1.4066,2.9425,3.0494,1.6954,1.4234,1.951,3.2433,2.7262,1.6502,1.8065,2.0071,2.9682,2.9439,2.9033,2.2786,2.8328,2.3251,2.3292,2.2339,2.0553,1.0036,1.4267,2.6238,3.3892,2.2484,0.7467,0.9027,1.2526,3.0113,2.0123,0.9305,0.7187
"34314",9.97,1.4155,2.6943,2.6036,1.5599,1.3694,1.9865,2.9219,2.6361,1.8817,1.8044,1.9252,2.9693,2.9054,2.7754,2.5253,2.9354,2.2889,2.6134,2.2943,2.7671,1.208,1.3248,2.6392,3.2977,2.3299,0.6224,0.7395,1.2376,2.8326,1.9412,0.8885,0.8958
