"","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"30209",0.997,22.5539,72.7146,37.7684,44.0127,70.4827,30.0164,50.3462,49.1982,28.608,129.0232,33.7316,56.2868,72.5487,63.5339,33.4496,46.0493,45.9768,44.5185,64.2455,56.7607,27.4822,52.1845,76.6536,69.4724,68.2062,29.6145,32.5132,49.4621,65.3492,55.7945,48.8378,48.9836
"30210",1.994,7.3308,13.611,9.9415,9.3794,13.7569,7.1316,9.6057,8.8179,7.2563,16.9728,7.5259,11.3932,15.5544,11.8855,7.058,9.4696,8.9679,9.4072,14.5894,9.0515,2.9172,10.5747,14.9462,12.8703,11.9622,4.5382,3.3218,8.1203,11.8545,10.9618,7.0473,10.1212
"30211",2.991,2.5325,5.6068,3.9665,2.5943,3.6278,2.7745,4.6085,4.1935,2.6975,5.0506,3.9548,5.6035,6.6921,5.5248,4.0671,3.9673,3.6161,3.8522,5.3413,3.3363,1.04,3.7189,5.699,5.9449,4.2926,1.5268,0.7456,2.823,4.9111,4.0473,2.0442,3.3679
"30212",3.988,1.4391,2.8133,2.3542,1.6612,1.9815,1.6707,2.7802,2.3863,1.5867,2.8025,2.0581,2.8201,3.068,2.5348,1.7923,1.6567,1.6321,1.6309,2.3574,1.3743,0.4868,1.7177,2.7318,3.393,2.1937,0.8154,0.4218,1.5659,2.8143,2.415,1.2823,1.8956
"30213",4.985,1.0114,1.9975,1.7407,1.2293,1.6995,1.3326,1.9604,1.7487,1.3807,2.31,1.6568,1.8614,1.9003,1.8147,1.5612,1.4054,1.3725,1.1848,1.4072,0.8628,0.3261,1.0139,1.7168,2.236,1.4297,0.4387,0.2767,0.9615,1.907,1.6407,0.8163,1.2544
"30214",5.982,0.9995,1.794,1.5727,1.1287,1.5018,1.2593,1.7986,1.6227,1.3516,1.8968,1.6342,1.6903,1.6254,1.6258,1.58,1.1801,1.0313,0.916,1.1055,0.6995,0.3271,0.796,1.4361,1.9868,1.2024,0.3664,0.2137,0.8305,1.7238,1.4975,0.7088,1.1661
"30215",6.979,1.3163,2.244,2.0784,1.165,1.203,1.2981,2.1078,1.752,1.1708,1.9582,1.54,1.9158,2.0119,1.7342,1.6926,1.3931,1.2503,1.2223,1.5411,0.9422,0.3233,1.1551,1.8911,2.2407,1.6518,0.4607,0.2472,1.1221,2.1756,2.0045,0.9527,1.4808
"30216",7.976,1.705,2.6044,2.2799,1.6542,1.8365,1.702,2.2991,2.241,1.9444,2.0822,2.3437,2.862,3.6241,2.7096,2.1523,1.9767,1.9732,2.0897,2.9512,1.8799,0.636,2.0127,2.9796,2.7722,2.356,0.6525,0.2556,1.3367,2.4414,2.4078,1.0562,2.0996
"30217",8.973,2.1779,2.7286,2.6649,2.3652,2.585,2.4907,3.0119,3.8691,3.1579,3.364,4.0568,5.9573,8.4516,5.5641,4.0359,3.8314,3.7655,4.6391,6.7607,4.6436,1.1671,3.948,5.9456,4.6162,3.5785,1.0395,0.4186,1.5629,2.8876,2.478,1.2,2.0463
"30218",9.97,2.2174,2.5527,2.6877,2.9579,3.0471,3.1777,3.4139,5.6842,4.0327,3.5861,5.9211,8.614,12.9344,8.651,5.7476,5.9459,5.8581,7.3441,9.6143,6.1169,1.1473,4.415,7.8806,5.477,3.7932,0.9822,0.4258,1.4098,2.7957,2.105,1.2368,2.0409
"30219",10.967,1.5039,2.0517,1.9595,1.7732,2.1681,2.2234,2.6441,4.0934,2.7762,2.9396,3.9825,5.1162,6.6645,5.74,4.2515,4.1865,3.6046,4.312,5.0291,3.3383,0.6496,2.3029,4.2064,3.441,2.2548,0.6579,0.3499,1.0583,2.0953,1.6319,0.9354,1.5263
"30220",11.964,0.7581,1.0282,0.9783,0.8907,1.1834,1.0408,1.1776,1.5239,1.3682,1.99,1.7637,2.0286,2.7067,2.8795,2.5762,2.3485,1.8261,2.1873,2.1461,1.7156,0.3862,1.0787,1.7399,1.5537,1.0234,0.4275,0.2438,0.5918,1.0444,0.8678,0.548,0.8358
"30221",12.961,0.591,0.821,0.8086,0.718,0.9552,0.8195,0.9204,1.0758,1.1452,1.5707,1.3097,1.2731,1.5298,1.8236,1.809,1.6708,1.3176,1.4569,1.2314,1.1044,0.2802,0.6705,1.0783,1.0908,0.7565,0.2849,0.171,0.5089,0.8631,0.7467,0.435,0.6398
"30222",13.958,0.4471,0.6477,0.6359,0.4867,0.5327,0.565,0.6845,0.7177,0.6938,1.1048,0.7802,0.7539,0.8335,1.0003,1.1803,1.1224,0.8837,0.9466,0.7064,0.7028,0.268,0.451,0.6329,0.7361,0.5252,0.2377,0.1339,0.3781,0.606,0.5721,0.3348,0.4835
