"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"1","oa01","ec",0.997,19.1307,24.8493333333333,16.43702,42.9112666666667,-0.00300450902029872,2.95129437452342,3.21283092455031,2.7995361079907,3.75913441771636
"2","oa01","ec",1.994,3.74176,4.92626666666667,4.48886,7.12946666666667,0.690142671539647,1.31955608896982,1.59458143275742,1.50159877196661,1.96423643031942
"3","oa01","ec",2.991,1.8297,2.5773,2.5651,3.7105,1.09560777964781,0.604152018988383,0.946742339329984,0.941997464217561,1.31116663842805
"4","oa01","ec",3.988,1.24304,1.69746666666667,1.5785,2.38206666666667,1.38328985209959,0.217559992219974,0.529136943537244,0.456475029015909,0.867968458226879
"5","oa01","ec",4.985,0.85352,1.10093333333333,0.91234,1.3704,1.6064334034138,-0.158386304098931,0.0961583048930267,-0.0917425513655312,0.315102668027773
"6","oa01","ec",5.982,0.66058,0.8115,0.59998,1.0498,1.78875496020776,-0.414637041990875,-0.208870892027491,-0.510858957654892,0.0485996698360624
"7","oa01","ec",6.979,0.44056,0.535166666666667,0.39696,0.724633333333333,1.94290564003501,-0.819708634027911,-0.625177054120678,-0.923919759038646,-0.322089499187113
"8","oa01","ec",7.976,0.45796,0.525533333333333,0.42466,0.718466666666667,2.07643703265954,-0.780973434926525,-0.643341659024439,-0.856466430228489,-0.330635967487515
"9","oa01","ec",8.973,0.47614,0.5604,0.46432,0.727,2.19422006831592,-0.742043350347774,-0.579104464519285,-0.767181309286314,-0.318828801448618
"10","oa01","ec",9.97,0.43782,0.488866666666667,0.41042,0.6425,2.29958058397375,-0.825947411976553,-0.715665491990548,-0.890574253369519,-0.442388462212762
"11","oa01","ec",10.967,0.44226,0.539933333333333,0.52158,0.776533333333333,2.39489076377807,-0.815857334552885,-0.616309603835357,-0.650892612663109,-0.25291570964788
"12","oa01","ec",11.964,0.4918,0.592933333333333,0.6399,0.822033333333333,2.4819021407677,-0.709683149200045,-0.522673309013705,-0.446443364836722,-0.195974333247742
"13","oa01","ec",12.961,0.53348,0.636533333333333,0.75158,0.955366666666667,2.56194484844124,-0.628333697227943,-0.451718492625626,-0.285577621695759,-0.0456600680355251
"14","oa01","ec",13.958,0.52748,0.602533333333333,0.75494,1.08493333333333,2.63605282059496,-0.639644329042639,-0.506612290113122,-0.281117003089711,0.0815185411722554
"15","oa01","ec",14.955,0.42584,0.504133333333333,0.59834,0.874,2.70504569208191,-0.853691590117635,-0.684914495633469,-0.513596124728658,-0.134674903326602
"16","oa01","ec",15.952,0.37558,0.4499,0.49064,0.6417,2.76958421321948,-0.979283781202077,-0.798729943135011,-0.712044617664409,-0.443634374225667
"17","oa01","ec",16.949,0.3803,0.479133333333333,0.51422,0.552,2.83020883503592,-0.966794864047923,-0.735776362615904,-0.665104089535302,-0.594207232705042
"18","oa01","ec",17.946,0.3944,0.491233333333333,0.549,0.5423,2.88736724887587,-0.930389656253657,-0.710836043431029,-0.599656837472606,-0.611935925135122
"19","oa01","ec",18.943,0.40944,0.5282,0.58022,0.534033333333333,2.94143447014614,-0.892964906570658,-0.638280279119105,-0.544347937016827,-0.627297019997578
"20","oa01","ec",19.94,0.38152,0.4863,0.52798,0.438133333333333,2.99272776453369,-0.963592004992168,-0.720929561572397,-0.638696874781174,-0.825232000927188
"21","oa01","ec",20.937,0.28826,0.382433333333333,0.42376,0.375066666666667,3.04151792870312,-1.24389242832718,-0.96120093284515,-0.858588021745866,-0.980651491034545
